block,trial,s1_state,direction,response,rt,pair,
0,0,False,right,right,0.869581937789917,725232,
0,1,False,right,left,1.8344330787658691,725232,
0,2,False,right,right,0.7168569564819336,725232,
0,3,False,left,left,0.4998171329498291,725232,
0,4,False,right,right,0.686877965927124,725232,
0,5,True,left,left,0.5188250541687012,725232,
0,6,True,left,left,0.5140981674194336,725232,
0,7,True,left,left,0.47228121757507324,725232,
0,8,False,left,right,0.46030116081237793,725232,
0,9,True,left,left,0.504749059677124,725232,
0,10,True,right,right,0.7560958862304688,725232,
0,11,True,left,left,0.5670270919799805,725232,
0,12,True,left,left,0.496445894241333,725232,
0,13,True,right,right,0.7459061145782471,725232,
0,14,False,right,left,0.6696581840515137,725232,
0,15,True,left,left,0.4998941421508789,725232,
0,16,True,left,left,0.5551700592041016,725232,
0,17,False,left,right,0.4690539836883545,725232,
0,18,True,left,left,0.5298089981079102,725232,
0,19,True,right,right,0.6548981666564941,725232,
0,20,False,right,left,0.6246271133422852,725232,
0,21,False,right,right,0.6808640956878662,725232,
0,22,False,left,left,0.6760499477386475,725232,
0,23,False,left,right,0.684345006942749,725232,
0,24,True,right,right,0.5823729038238525,725232,
0,25,True,left,left,0.6344349384307861,725232,
0,26,False,left,right,0.64009690284729,725232,
0,27,False,right,right,0.7396039962768555,725232,
0,28,False,left,right,0.7800261974334717,725232,
0,29,False,right,right,0.6580498218536377,725232,
0,30,True,left,left,0.5493409633636475,725232,
0,31,True,right,right,0.760979175567627,725232,
0,32,True,left,left,0.5253839492797852,725232,
0,33,False,right,right,0.7191469669342041,725232,
0,34,True,left,left,0.44735002517700195,725232,
0,35,False,right,left,0.49953293800354004,725232,
0,36,True,left,left,0.4393579959869385,725232,
0,37,True,right,right,0.6443018913269043,725232,
0,38,True,left,left,0.5133891105651855,725232,
0,39,True,left,left,0.5119030475616455,725232,
0,40,False,right,right,0.5433740615844727,725232,
0,41,True,right,right,0.8150930404663086,725232,
0,42,True,right,right,1.0401740074157715,725232,
0,43,True,right,right,0.6050012111663818,725232,
0,44,True,left,left,0.5145671367645264,725232,
0,45,True,left,left,0.5754950046539307,725232,
0,46,False,left,right,0.5997200012207031,725232,
0,47,False,right,left,0.9391350746154785,725232,
