condition,.thisRepN,.thisTrialN,.thisN,.thisIndex,block,trial,response,pair_id,chamber,threshold,
noise,0,-1,-1,0,1,0,8,9242,2,0.04060145417481397,
noise,0,-1,-1,0,1,1,8,9242,2,0.04060145417481397,
noise,0,-1,-1,0,1,2,noresponse,9242,2,0.04060145417481397,
signal,0,-1,-1,0,1,3,noresponse,9242,2,0.04060145417481397,
signal,0,-1,-1,0,1,4,noresponse,9242,2,0.04060145417481397,
signal,0,-1,-1,0,1,5,noresponse,9242,2,0.04060145417481397,
noise,0,-1,-1,0,1,6,noresponse,9242,2,0.04060145417481397,
noise,0,-1,-1,0,1,7,noresponse,9242,2,0.04060145417481397,
noise,0,-1,-1,0,1,8,noresponse,9242,2,0.04060145417481397,
noise,0,-1,-1,0,1,9,noresponse,9242,2,0.04060145417481397,
noise,0,-1,-1,0,1,10,noresponse,9242,2,0.04060145417481397,
signal,0,-1,-1,0,1,11,noresponse,9242,2,0.04060145417481397,
signal,0,-1,-1,0,1,12,noresponse,9242,2,0.04060145417481397,
signal,0,-1,-1,0,1,13,noresponse,9242,2,0.04060145417481397,
signal,0,-1,-1,0,1,14,noresponse,9242,2,0.04060145417481397,
signal,0,-1,-1,0,1,15,noresponse,9242,2,0.04060145417481397,
signal,0,-1,-1,0,1,16,noresponse,9242,2,0.04060145417481397,
noise,0,-1,-1,0,1,17,noresponse,9242,2,0.04060145417481397,
noise,0,-1,-1,0,1,18,noresponse,9242,2,0.04060145417481397,
signal,0,-1,-1,0,1,19,noresponse,9242,2,0.04060145417481397,
signal,0,-1,-1,0,1,20,noresponse,9242,2,0.04060145417481397,
signal,0,-1,-1,0,1,21,noresponse,9242,2,0.04060145417481397,
noise,0,-1,-1,0,1,22,noresponse,9242,2,0.04060145417481397,
noise,0,-1,-1,0,1,23,noresponse,9242,2,0.04060145417481397,
noise,0,-1,-1,0,1,24,noresponse,9242,2,0.04060145417481397,
noise,0,-1,-1,0,1,25,noresponse,9242,2,0.04060145417481397,
signal,0,-1,-1,0,1,26,noresponse,9242,2,0.04060145417481397,
signal,0,-1,-1,0,1,27,noresponse,9242,2,0.04060145417481397,
signal,0,-1,-1,0,1,28,noresponse,9242,2,0.04060145417481397,
noise,0,-1,-1,0,1,29,noresponse,9242,2,0.04060145417481397,
signal,0,-1,-1,0,1,30,noresponse,9242,2,0.04060145417481397,
noise,0,-1,-1,0,1,31,noresponse,9242,2,0.04060145417481397,
noise,0,-1,-1,0,1,32,noresponse,9242,2,0.04060145417481397,
signal,0,-1,-1,0,1,33,noresponse,9242,2,0.04060145417481397,
signal,0,-1,-1,0,1,34,noresponse,9242,2,0.04060145417481397,
noise,0,-1,-1,0,1,35,noresponse,9242,2,0.04060145417481397,
noise,0,-1,-1,0,1,36,noresponse,9242,2,0.04060145417481397,
signal,0,-1,-1,0,1,37,noresponse,9242,2,0.04060145417481397,
noise,0,-1,-1,0,1,38,noresponse,9242,2,0.04060145417481397,
noise,0,-1,-1,0,1,39,noresponse,9242,2,0.04060145417481397,
noise,0,-1,-1,0,1,40,noresponse,9242,2,0.04060145417481397,
signal,0,-1,-1,0,1,41,noresponse,9242,2,0.04060145417481397,
signal,0,-1,-1,0,1,42,noresponse,9242,2,0.04060145417481397,
noise,0,-1,-1,0,1,43,noresponse,9242,2,0.04060145417481397,
noise,0,-1,-1,0,1,44,noresponse,9242,2,0.04060145417481397,
noise,0,-1,-1,0,1,45,noresponse,9242,2,0.04060145417481397,
noise,0,-1,-1,0,1,46,noresponse,9242,2,0.04060145417481397,
noise,0,-1,-1,0,1,47,noresponse,9242,2,0.04060145417481397,
signal,0,-1,-1,0,1,48,noresponse,9242,2,0.04060145417481397,
signal,0,-1,-1,0,1,49,noresponse,9242,2,0.04060145417481397,
noise,0,-1,-1,0,1,50,noresponse,9242,2,0.04060145417481397,
signal,0,-1,-1,0,1,51,noresponse,9242,2,0.04060145417481397,
signal,0,-1,-1,0,1,52,noresponse,9242,2,0.04060145417481397,
noise,0,-1,-1,0,1,53,noresponse,9242,2,0.04060145417481397,
signal,0,-1,-1,0,1,54,noresponse,9242,2,0.04060145417481397,
signal,0,-1,-1,0,1,55,noresponse,9242,2,0.04060145417481397,
signal,0,-1,-1,0,1,56,noresponse,9242,2,0.04060145417481397,
noise,0,-1,-1,0,1,57,noresponse,9242,2,0.04060145417481397,
noise,0,-1,-1,0,1,58,noresponse,9242,2,0.04060145417481397,
noise,0,-1,-1,0,1,59,noresponse,9242,2,0.04060145417481397,
noise,0,-1,-1,0,1,60,8,9242,2,0.04060145417481397,
signal,0,-1,-1,0,1,61,noresponse,9242,2,0.04060145417481397,
noise,0,-1,-1,0,1,62,noresponse,9242,2,0.04060145417481397,
signal,0,-1,-1,0,1,63,noresponse,9242,2,0.04060145417481397,
noise,0,-1,-1,0,1,64,noresponse,9242,2,0.04060145417481397,
signal,0,-1,-1,0,1,65,noresponse,9242,2,0.04060145417481397,
signal,0,-1,-1,0,1,66,noresponse,9242,2,0.04060145417481397,
signal,0,-1,-1,0,1,67,noresponse,9242,2,0.04060145417481397,
signal,0,-1,-1,0,1,68,noresponse,9242,2,0.04060145417481397,
signal,0,-1,-1,0,1,69,noresponse,9242,2,0.04060145417481397,
noise,0,-1,-1,0,1,70,noresponse,9242,2,0.04060145417481397,
signal,0,-1,-1,0,1,71,noresponse,9242,2,0.04060145417481397,
signal,0,-1,-1,0,1,72,noresponse,9242,2,0.04060145417481397,
signal,0,-1,-1,0,1,73,noresponse,9242,2,0.04060145417481397,
noise,0,-1,-1,0,1,74,noresponse,9242,2,0.04060145417481397,
noise,0,-1,-1,0,1,75,noresponse,9242,2,0.04060145417481397,
signal,0,-1,-1,0,1,76,noresponse,9242,2,0.04060145417481397,
noise,0,-1,-1,0,1,77,noresponse,9242,2,0.04060145417481397,
noise,0,-1,-1,0,1,78,noresponse,9242,2,0.04060145417481397,
signal,0,-1,-1,0,1,79,noresponse,9242,2,0.04060145417481397,
signal,0,-1,-1,0,2,0,7,9242,2,0.04060145417481397,
noise,0,-1,-1,0,2,1,8,9242,2,0.04060145417481397,
signal,0,-1,-1,0,2,2,noresponse,9242,2,0.04060145417481397,
signal,0,-1,-1,0,2,3,noresponse,9242,2,0.04060145417481397,
noise,0,-1,-1,0,2,4,noresponse,9242,2,0.04060145417481397,
noise,0,-1,-1,0,2,5,8,9242,2,0.04060145417481397,
noise,0,-1,-1,0,2,6,noresponse,9242,2,0.04060145417481397,
signal,0,-1,-1,0,2,7,noresponse,9242,2,0.04060145417481397,
noise,0,-1,-1,0,2,8,noresponse,9242,2,0.04060145417481397,
noise,0,-1,-1,0,2,9,noresponse,9242,2,0.04060145417481397,
signal,0,-1,-1,0,2,10,noresponse,9242,2,0.04060145417481397,
signal,0,-1,-1,0,2,11,noresponse,9242,2,0.04060145417481397,
signal,0,-1,-1,0,2,12,noresponse,9242,2,0.04060145417481397,
signal,0,-1,-1,0,2,13,noresponse,9242,2,0.04060145417481397,
noise,0,-1,-1,0,2,14,noresponse,9242,2,0.04060145417481397,
noise,0,-1,-1,0,2,15,noresponse,9242,2,0.04060145417481397,
signal,0,-1,-1,0,2,16,noresponse,9242,2,0.04060145417481397,
noise,0,-1,-1,0,2,17,noresponse,9242,2,0.04060145417481397,
