block,trial,s1_state,direction,response,rt,pair
1,12,TRUE,left,right,0.7261910438537598,268006
1,13,TRUE,right,right,0.6982560157775879,268006
1,14,TRUE,left,right,0.452193021774292,268006
1,15,TRUE,left,left,0.6188840866088867,268006
1,16,FALSE,right,right,0.5687849521636963,268006
1,17,TRUE,left,left,0.6074168682098389,268006
1,18,FALSE,right,right,0.599769115447998,268006
1,19,FALSE,right,right,0.4755208492279053,268006
1,20,FALSE,left,left,0.6465458869934082,268006
1,21,FALSE,left,left,0.8343539237976074,268006
1,22,TRUE,left,right,0.7339818477630615,268006
1,23,FALSE,left,left,0.5873539447784424,268006
1,24,FALSE,left,left,0.6956140995025635,268006
1,25,TRUE,right,right,0.786808967590332,268006
1,26,FALSE,right,right,1.009709119796753,268006
1,27,TRUE,left,right,0.7113559246063232,268006
1,28,FALSE,left,right,0.984004020690918,268006
1,29,FALSE,right,left,1.3268680572509766,268006
1,30,TRUE,left,right,0.79984283447265625,268006
1,31,TRUE,left,right,0.6906280517578125,268006
1,32,FALSE,left,right,0.9003698825836182,268006
1,33,TRUE,right,right,0.6466970443725586,268006
1,34,FALSE,left,left,0.7200338840484619,268006
1,35,TRUE,left,right,0.8910567760467529,268006
1,36,TRUE,right,right,0.5005838871002197,268006
1,37,TRUE,right,left,0.7554049491882324,268006
1,38,TRUE,left,right,0.6514208316802979,268006
1,39,FALSE,right,right,1.0819940567016602,268006
1,40,FALSE,left,right,0.8805489540100098,268006
1,41,FALSE,left,left,0.9537930488586426,268006
1,42,TRUE,right,right,0.6328079700469971,268006
1,43,TRUE,left,right,0.5096619129180908,268006
1,44,TRUE,left,right,0.64599609375,268006
1,45,TRUE,right,right,0.4942471981048584,268006
1,46,FALSE,right,right,0.9830620288848876,268006
1,47,FALSE,right,right,1.2853879928588867,268006
1,48,TRUE,left,right,0.5378129482269287,268006
1,49,TRUE,left,right,0.5561769008636475,268006
1,50,FALSE,right,left,1.2071959972381592,268006
1,51,FALSE,right,right,1.1483538150787354,268006
1,52,TRUE,right,right,0.5276749134063721,268006
1,53,TRUE,left,right,0.6668682098388672,268006
1,54,TRUE,right,right,0.6963391304016113,268006
1,55,TRUE,right,right,0.5484521389007568,268006
1,56,TRUE,right,right,0.637488842010498,268006
1,57,TRUE,left,right,0.5454850196838379,268006
1,58,TRUE,right,right,0.7185509204864502,268006
1,59,FALSE,left,left,0.6150391101837158,268006
1,60,TRUE,right,left,0.8974590301513672,268006
1,61,TRUE,left,right,0.7049980163574219,268006
1,62,FALSE,right,left,0.6433660984039307,268006
1,63,FALSE,right,left,1.0006327629089355,268006
1,64,TRUE,right,right,0.5445828437805176,268006
1,65,TRUE,right,right,0.6457610130310059,268006
1,66,TRUE,left,right,0.518265962600708,268006
1,67,FALSE,left,left,0.9429879188537598,268006
1,68,TRUE,right,right,0.6432468891143799,268006
1,69,FALSE,left,left,0.934589147567749,268006
1,70,FALSE,right,right,0.8169491291046143,268006
1,71,TRUE,right,right,0.7216031551361084,268006
1,72,TRUE,left,left,1.049753189086914,268006
1,73,TRUE,left,right,0.6838641166687012,268006
1,74,FALSE,left,left,0.9254319667816162,268006
1,75,TRUE,left,right,0.7033979892730713,268006
1,76,TRUE,right,right,0.6604828834533691,268006
1,77,FALSE,right,left,1.3985960483551023,268006
1,78,FALSE,left,right,1.0990707874298096,268006
1,79,TRUE,right,right,0.7635788917541504,268006
1,80,FALSE,left,left,0.8021571636199951,268006
1,81,TRUE,left,left,0.7146420478820801,268006
1,82,TRUE,right,right,0.6970939636230469,268006
1,83,FALSE,right,right,0.8652091026306152,268006
1,84,FALSE,right,right,0.7397518157958984,268006
1,85,FALSE,right,right,0.9689979553222656,268006
1,86,TRUE,left,left,0.7435998916625977,268006
1,87,FALSE,right,right,0.8835577964782715,268006
1,88,TRUE,right,right,0.589730978012085,268006
1,89,FALSE,right,right,1.1129810810089111,268006
1,90,FALSE,right,right,0.9004020690917969,268006
1,91,TRUE,left,right,0.6950051784515381,268006
1,92,FALSE,right,right,0.7849249839782715,268006
1,93,TRUE,right,right,0.7371330261230469,268006
1,94,FALSE,left,left,0.6286990642547607,268006
1,95,FALSE,right,left,0.9772460460662842,268006
1,96,FALSE,right,left,1.0619211196899414,268006
1,97,FALSE,right,right,0.825469970703125,268006
1,98,FALSE,left,left,0.6432399749755859,268006
1,99,FALSE,right,left,0.9415929317474364,268006
2,0,FALSE,left,left,1.5921871662139893,268006
2,1,FALSE,right,left,0.9882469177246094,268006
2,2,FALSE,left,left,0.9373199939727784,268006
2,3,TRUE,right,left,0.7476010322570801,268006
2,4,FALSE,left,left,0.6640989780426025,268006
2,5,TRUE,left,left,0.6964240074157715,268006
2,6,TRUE,left,left,0.7503459453582764,268006
2,7,FALSE,left,right,0.8329458236694336,268006
2,8,FALSE,right,left,1.0035090446472168,268006
2,9,FALSE,right,left,0.888897180557251,268006
2,10,FALSE,left,right,0.997622013092041,268006
2,11,TRUE,right,right,0.6195340156555176,268006
2,12,TRUE,left,left,0.779167890548706,268006
2,13,FALSE,left,left,0.6725430488586426,268006
2,14,FALSE,left,right,0.8956408500671387,268006
2,15,TRUE,right,right,0.7195389270782471,268006
2,16,FALSE,left,left,0.8985710144042969,268006
2,17,TRUE,left,right,0.6779952049255371,268006
2,18,FALSE,right,left,0.9069430828094482,268006
2,19,FALSE,right,left,1.0013630390167236,268006
2,20,TRUE,left,left,0.6415610313415527,268006
2,21,TRUE,left,right,0.5981500148773193,268006
2,22,FALSE,left,left,1.4326870441436768,268006
2,23,FALSE,left,right,0.8540430068969727,268006
2,24,FALSE,right,right,0.899169921875,268006
2,25,FALSE,left,right,0.9791109561920166,268006
2,26,TRUE,left,right,0.735590934753418,268006
2,27,FALSE,right,right,0.6534409523010254,268006
2,28,TRUE,left,left,0.8982439041137695,268006
2,29,FALSE,right,right,0.64402008056640625,268006
2,30,FALSE,right,right,0.8573338985443115,268006
2,31,TRUE,left,left,0.6625819206237793,268006
2,32,FALSE,right,right,0.980888843536377,268006
2,33,TRUE,right,left,0.6775438785552979,268006
2,34,TRUE,left,right,0.6239140033721924,268006
2,35,FALSE,left,left,0.6820881366729736,268006
2,36,TRUE,right,right,0.6335389614105225,268006
2,37,FALSE,right,left,0.7959609031677246,268006
2,38,FALSE,right,left,0.9270379543304444,268006
2,39,FALSE,right,right,0.8053860664367676,268006
2,40,TRUE,right,right,0.5171539783477783,268006
2,41,TRUE,left,right,0.74338698387146,268006
2,42,TRUE,right,left,0.8805291652679443,268006
2,43,TRUE,right,left,0.7004480361938477,268006
2,44,TRUE,left,left,0.5474939346313477,268006
2,45,TRUE,right,left,0.530951976776123,268006
2,46,FALSE,right,right,1.1740028858184814,268006
2,47,FALSE,right,right,0.8973639011383057,268006
2,48,TRUE,right,left,0.5269792079925537,268006
2,49,FALSE,right,left,0.8326890468597412,268006
2,50,FALSE,left,left,0.6655540466308594,268006
