condition,.thisRepN,.thisTrialN,.thisN,.thisIndex,block,trial,response,pair_id,chamber,threshold,
noise,0,-1,-1,0,1,0,8,923,2,0.022173376341988023,
signal,0,-1,-1,0,1,1,7,923,2,0.022173376341988023,
noise,0,-1,-1,0,1,2,8,923,2,0.022173376341988023,
signal,0,-1,-1,0,1,3,7,923,2,0.022173376341988023,
noise,0,-1,-1,0,1,4,8,923,2,0.022173376341988023,
noise,0,-1,-1,0,1,5,8,923,2,0.022173376341988023,
noise,0,-1,-1,0,1,6,8,923,2,0.022173376341988023,
signal,0,-1,-1,0,1,7,7,923,2,0.022173376341988023,
signal,0,-1,-1,0,1,8,7,923,2,0.022173376341988023,
noise,0,-1,-1,0,1,9,8,923,2,0.022173376341988023,
signal,0,-1,-1,0,1,10,7,923,2,0.022173376341988023,
signal,0,-1,-1,0,1,11,7,923,2,0.022173376341988023,
noise,0,-1,-1,0,1,12,8,923,2,0.022173376341988023,
signal,0,-1,-1,0,1,13,7,923,2,0.022173376341988023,
signal,0,-1,-1,0,1,14,7,923,2,0.022173376341988023,
noise,0,-1,-1,0,1,15,8,923,2,0.022173376341988023,
noise,0,-1,-1,0,1,16,8,923,2,0.022173376341988023,
noise,0,-1,-1,0,1,17,8,923,2,0.022173376341988023,
noise,0,-1,-1,0,1,18,8,923,2,0.022173376341988023,
signal,0,-1,-1,0,1,19,8,923,2,0.022173376341988023,
signal,0,-1,-1,0,1,20,7,923,2,0.022173376341988023,
noise,0,-1,-1,0,1,21,8,923,2,0.022173376341988023,
signal,0,-1,-1,0,1,22,7,923,2,0.022173376341988023,
signal,0,-1,-1,0,1,23,7,923,2,0.022173376341988023,
noise,0,-1,-1,0,1,24,8,923,2,0.022173376341988023,
signal,0,-1,-1,0,1,25,7,923,2,0.022173376341988023,
signal,0,-1,-1,0,1,26,7,923,2,0.022173376341988023,
noise,0,-1,-1,0,1,27,8,923,2,0.022173376341988023,
signal,0,-1,-1,0,1,28,7,923,2,0.022173376341988023,
noise,0,-1,-1,0,1,29,8,923,2,0.022173376341988023,
signal,0,-1,-1,0,1,30,7,923,2,0.022173376341988023,
noise,0,-1,-1,0,1,31,8,923,2,0.022173376341988023,
noise,0,-1,-1,0,1,32,8,923,2,0.022173376341988023,
noise,0,-1,-1,0,1,33,8,923,2,0.022173376341988023,
noise,0,-1,-1,0,1,34,8,923,2,0.022173376341988023,
signal,0,-1,-1,0,1,35,7,923,2,0.022173376341988023,
noise,0,-1,-1,0,1,36,8,923,2,0.022173376341988023,
noise,0,-1,-1,0,1,37,8,923,2,0.022173376341988023,
signal,0,-1,-1,0,1,38,7,923,2,0.022173376341988023,
noise,0,-1,-1,0,1,39,8,923,2,0.022173376341988023,
noise,0,-1,-1,0,1,40,8,923,2,0.022173376341988023,
noise,0,-1,-1,0,1,41,8,923,2,0.022173376341988023,
noise,0,-1,-1,0,1,42,8,923,2,0.022173376341988023,
noise,0,-1,-1,0,1,43,8,923,2,0.022173376341988023,
signal,0,-1,-1,0,1,44,7,923,2,0.022173376341988023,
noise,0,-1,-1,0,1,45,8,923,2,0.022173376341988023,
noise,0,-1,-1,0,1,46,8,923,2,0.022173376341988023,
signal,0,-1,-1,0,1,47,7,923,2,0.022173376341988023,
signal,0,-1,-1,0,1,48,7,923,2,0.022173376341988023,
noise,0,-1,-1,0,1,49,8,923,2,0.022173376341988023,
signal,0,-1,-1,0,1,50,7,923,2,0.022173376341988023,
noise,0,-1,-1,0,1,51,8,923,2,0.022173376341988023,
signal,0,-1,-1,0,1,52,7,923,2,0.022173376341988023,
signal,0,-1,-1,0,1,53,7,923,2,0.022173376341988023,
signal,0,-1,-1,0,1,54,7,923,2,0.022173376341988023,
noise,0,-1,-1,0,1,55,8,923,2,0.022173376341988023,
noise,0,-1,-1,0,1,56,8,923,2,0.022173376341988023,
noise,0,-1,-1,0,1,57,8,923,2,0.022173376341988023,
noise,0,-1,-1,0,1,58,8,923,2,0.022173376341988023,
signal,0,-1,-1,0,1,59,7,923,2,0.022173376341988023,
signal,0,-1,-1,0,1,60,7,923,2,0.022173376341988023,
signal,0,-1,-1,0,1,61,7,923,2,0.022173376341988023,
signal,0,-1,-1,0,1,62,7,923,2,0.022173376341988023,
signal,0,-1,-1,0,1,63,7,923,2,0.022173376341988023,
noise,0,-1,-1,0,1,64,8,923,2,0.022173376341988023,
signal,0,-1,-1,0,1,65,7,923,2,0.022173376341988023,
noise,0,-1,-1,0,1,66,8,923,2,0.022173376341988023,
noise,0,-1,-1,0,1,67,8,923,2,0.022173376341988023,
signal,0,-1,-1,0,1,68,7,923,2,0.022173376341988023,
signal,0,-1,-1,0,1,69,7,923,2,0.022173376341988023,
noise,0,-1,-1,0,1,70,8,923,2,0.022173376341988023,
signal,0,-1,-1,0,1,71,7,923,2,0.022173376341988023,
signal,0,-1,-1,0,1,72,7,923,2,0.022173376341988023,
signal,0,-1,-1,0,1,73,7,923,2,0.022173376341988023,
signal,0,-1,-1,0,1,74,7,923,2,0.022173376341988023,
noise,0,-1,-1,0,1,75,8,923,2,0.022173376341988023,
noise,0,-1,-1,0,1,76,8,923,2,0.022173376341988023,
signal,0,-1,-1,0,1,77,7,923,2,0.022173376341988023,
signal,0,-1,-1,0,1,78,7,923,2,0.022173376341988023,
signal,0,-1,-1,0,1,79,7,923,2,0.022173376341988023,
signal,0,0,0,30,2,0,7,923,2,0.022173376341988023,
signal,0,1,1,38,2,1,7,923,2,0.022173376341988023,
signal,0,2,2,20,2,2,7,923,2,0.022173376341988023,
noise,0,3,3,63,2,3,8,923,2,0.022173376341988023,
noise,0,4,4,55,2,4,8,923,2,0.022173376341988023,
noise,0,5,5,11,2,5,8,923,2,0.022173376341988023,
