block,trial,s1_state,direction,response,rt,pair,
0,0,True,left,right,1.0721631050109863,659640,
0,1,True,left,left,0.9993031024932861,659640,
0,2,True,left,left,0.8096818923950195,659640,
0,3,False,right,right,0.8191659450531006,659640,
0,4,True,left,left,1.2571368217468262,659640,
0,5,True,right,right,0.9698929786682129,659640,
0,6,False,right,right,0.5838620662689209,659640,
0,7,True,right,right,1.451624870300293,659640,
0,8,False,right,right,0.47699403762817383,659640,
0,9,True,left,left,0.7766468524932861,659640,
0,10,False,left,left,0.6207959651947021,659640,
0,11,True,left,left,0.6232731342315674,659640,
0,12,True,right,right,0.7766640186309814,659640,
0,13,True,left,left,0.6166739463806152,659640,
0,14,False,right,right,0.8091380596160889,659640,
0,15,False,right,left,1.3252980709075928,659640,
0,16,False,right,right,0.7190971374511719,659640,
0,17,True,left,left,0.6635739803314209,659640,
0,18,False,left,left,0.7713220119476318,659640,
0,19,True,right,left,0.9640510082244873,659640,
0,20,True,right,right,0.7860109806060791,659640,
0,21,True,right,right,0.8306419849395752,659640,
0,22,False,left,left,0.7201659679412842,659640,
0,23,True,right,right,0.6191561222076416,659640,
0,24,False,left,left,0.42357778549194336,659640,
0,25,True,right,right,0.4895310401916504,659640,
0,26,True,right,right,0.5370550155639648,659640,
0,27,True,left,left,0.8683860301971436,659640,
0,28,True,right,right,0.5137131214141846,659640,
0,29,True,left,left,0.8800399303436279,659640,
0,30,False,left,right,0.8258609771728516,659640,
0,31,False,right,left,1.0362279415130615,659640,
0,32,True,left,left,0.56976318359375,659640,
0,33,True,right,left,1.2463757991790771,659640,
0,34,True,right,right,1.047532081604004,659640,
0,35,True,left,left,1.1652169227600098,659640,
0,36,True,left,left,1.4877688884735107,659640,
0,37,True,left,left,0.9786419868469238,659640,
0,38,False,left,left,0.7151889801025391,659640,
0,39,True,right,right,0.6307239532470703,659640,
0,40,False,left,left,0.6017940044403076,659640,
0,41,False,left,left,0.8336780071258545,659640,
0,42,True,left,left,0.7218940258026123,659640,
0,43,False,left,left,0.42403292655944824,659640,
0,44,True,left,left,0.8750100135803223,659640,
0,45,True,left,left,0.6133120059967041,659640,
0,46,False,left,left,0.4939241409301758,659640,
0,47,True,right,right,0.7281460762023926,659640,
0,48,False,right,left,0.9651048183441162,659640,
0,49,False,right,right,0.49836087226867676,659640,
0,50,False,right,right,0.5483260154724121,659640,
0,51,True,left,left,1.138564109802246,659640,
0,52,True,left,left,1.0035839080810547,659640,
0,53,False,right,right,0.7314820289611816,659640,
0,54,True,right,right,0.7030110359191895,659640,
0,55,True,right,right,0.7891099452972412,659640,
0,56,False,left,left,0.7151439189910889,659640,
0,57,False,left,left,1.1875030994415283,659640,
0,58,True,left,left,0.7105309963226318,659640,
0,59,False,left,left,0.8440420627593994,659640,
0,60,False,right,left,0.348675012588501,659640,
0,61,False,left,left,0.7252161502838135,659640,
0,62,False,right,right,0.5627748966217041,659640,
0,63,False,right,right,0.6190311908721924,659640,
0,64,False,right,left,1.531419038772583,659640,
0,65,True,left,left,0.8872179985046387,659640,
0,66,True,left,right,1.2597558498382568,659640,
0,67,False,right,right,0.8473019599914551,659640,
0,68,True,left,left,0.8135080337524414,659640,
0,69,True,right,right,0.7147998809814453,659640,
0,70,True,left,left,0.5583038330078125,659640,
0,71,False,right,left,0.7409210205078125,659640,
0,72,True,left,left,1.0646860599517822,659640,
0,73,True,right,right,1.1438119411468506,659640,
0,74,False,left,left,0.5685060024261475,659640,
0,75,False,right,right,0.6027209758758545,659640,
0,76,False,left,left,0.6764719486236572,659640,
0,77,True,right,right,0.5521121025085449,659640,
0,78,False,right,left,1.0314929485321045,659640,
0,79,False,left,left,0.6533019542694092,659640,
0,80,True,left,left,0.49272990226745605,659640,
0,81,False,right,right,0.7314579486846924,659640,
0,82,False,left,left,0.5963740348815918,659640,
0,83,False,left,left,0.6825950145721436,659640,
0,84,False,right,left,0.7582709789276123,659640,
0,85,False,left,left,0.6842100620269775,659640,
0,86,True,right,right,0.6118531227111816,659640,
0,87,True,right,right,0.5934441089630127,659640,
0,88,True,right,right,0.6020820140838623,659640,
0,89,True,left,left,0.824782133102417,659640,
0,90,False,right,right,1.2309391498565674,659640,
0,91,True,left,left,0.8888700008392334,659640,
0,92,False,right,left,0.7893378734588623,659640,
0,93,True,right,right,0.5987308025360107,659640,
0,94,False,right,right,0.8238821029663086,659640,
0,95,True,right,right,0.7608330249786377,659640,
0,96,False,right,left,0.5980958938598633,659640,
0,97,False,right,left,0.6616439819335938,659640,
0,98,False,left,left,0.6958179473876953,659640,
