block,trial,s1_state,direction,response,rt,pair,
0,0,True,right,left,0.8412199020385742,725232,
0,1,True,left,left,0.547806978225708,725232,
0,2,True,left,left,0.6812140941619873,725232,
0,3,True,right,right,0.6148748397827148,725232,
0,4,True,left,left,0.5482189655303955,725232,
0,5,False,right,left,0.779062032699585,725232,
0,6,False,left,right,1.0472781658172607,725232,
0,7,True,right,right,0.8417060375213623,725232,
0,8,False,left,left,0.7499468326568604,725232,
0,9,False,right,right,1.5420360565185547,725232,
0,10,False,right,left,0.6830990314483643,725232,
0,11,True,right,right,0.822484016418457,725232,
0,12,False,left,right,1.02547287940979,725232,
0,13,True,left,left,0.6449611186981201,725232,
0,14,False,left,left,0.6825199127197266,725232,
0,15,False,left,left,1.2809851169586182,725232,
0,16,False,left,left,1.105219841003418,725232,
0,17,True,left,left,0.7392139434814453,725232,
0,18,False,right,right,1.2775459289550781,725232,
0,19,False,left,left,0.7508499622344971,725232,
0,20,True,right,right,0.7553360462188721,725232,
0,21,False,left,left,0.7800610065460205,725232,
0,22,True,left,left,0.6487729549407959,725232,
0,23,True,right,right,0.7253189086914062,725232,
0,24,False,right,left,0.7767679691314697,725232,
0,25,True,right,right,1.0633399486541748,725232,
0,26,False,right,left,0.8057370185852051,725232,
0,27,False,left,left,1.4203169345855713,725232,
0,28,False,left,right,1.5078380107879639,725232,
0,29,True,right,right,0.8095629215240479,725232,
0,30,True,left,left,0.6816661357879639,725232,
0,31,False,right,left,0.584007978439331,725232,
0,32,True,left,left,0.5350100994110107,725232,
0,33,False,left,right,0.6270759105682373,725232,
0,34,True,right,right,0.5375790596008301,725232,
0,35,True,left,left,0.5464599132537842,725232,
0,36,False,left,left,0.5591788291931152,725232,
0,37,False,right,right,0.7751271724700928,725232,
0,38,False,right,right,1.1312050819396973,725232,
0,39,False,right,right,0.7313029766082764,725232,
0,40,True,right,right,0.8341748714447021,725232,
0,41,True,right,right,0.5567171573638916,725232,
0,42,True,right,right,0.7013931274414062,725232,
0,43,False,right,right,0.8860011100769043,725232,
0,44,True,right,right,0.8012588024139404,725232,
0,45,True,left,left,0.8759939670562744,725232,
0,46,True,right,right,0.7420041561126709,725232,
0,47,True,left,left,0.8942279815673828,725232,
0,48,True,left,left,0.7694249153137207,725232,
0,49,False,right,right,0.7656571865081787,725232,
0,50,True,left,left,0.7218050956726074,725232,
0,51,False,left,left,0.8136348724365234,725232,
0,52,True,left,left,0.696739912033081,725232,
0,53,False,left,right,1.0093958377838135,725232,
0,54,False,left,left,0.9191021919250488,725232,
0,55,False,right,left,1.6527578830718994,725232,
0,56,True,left,left,0.7995607852935791,725232,
0,57,True,left,left,0.9591269493103027,725232,
0,58,True,left,left,1.202505111694336,725232,
0,59,True,right,right,0.8542311191558838,725232,
0,60,True,right,right,0.8890380859375,725232,
0,61,False,left,left,0.6907370090484619,725232,
0,62,False,right,right,0.8603758811950684,725232,
0,63,False,left,right,0.6738860607147217,725232,
0,64,False,right,right,1.3081200122833252,725232,
0,65,True,right,right,1.0689520835876465,725232,
0,66,True,right,right,0.9191989898681641,725232,
0,67,False,right,right,0.9300129413604736,725232,
0,68,False,right,left,0.7680602073669434,725232,
0,69,True,left,left,0.9696400165557861,725232,
0,70,False,right,left,0.9795019626617432,725232,
0,71,True,right,right,1.6471471786499023,725232,
0,72,False,left,left,0.6961228847503662,725232,
0,73,False,right,right,0.8445501327514648,725232,
0,74,False,right,left,0.5749421119689941,725232,
0,75,True,left,left,0.7945129871368408,725232,
0,76,False,right,left,0.8200838565826416,725232,
0,77,True,left,left,0.7979118824005127,725232,
0,78,True,left,left,0.9505810737609863,725232,
0,79,True,right,right,1.0036180019378662,725232,
0,80,True,left,left,0.7647140026092529,725232,
0,81,True,left,left,0.9928970336914062,725232,
0,82,False,right,left,0.6372549533843994,725232,
0,83,True,right,right,1.029796838760376,725232,
0,84,False,left,left,0.8285520076751709,725232,
0,85,True,right,right,0.5769891738891602,725232,
0,86,False,right,left,0.6627011299133301,725232,
0,87,True,right,right,0.9448020458221436,725232,
0,88,True,left,left,0.5910441875457764,725232,
0,89,False,left,right,1.0487480163574219,725232,
0,90,True,left,left,1.0050570964813232,725232,
0,91,False,right,right,0.8614530563354492,725232,
0,92,True,left,left,0.7951240539550781,725232,
0,93,False,left,left,0.604140043258667,725232,
0,94,False,right,left,0.9022359848022461,725232,
0,95,True,left,left,0.6053850650787354,725232,
0,96,True,right,right,0.7397239208221436,725232,
0,97,True,left,left,0.5334711074829102,725232,
0,98,False,left,right,1.0575339794158936,725232,
0,99,True,right,right,0.8456220626831055,725232,
1,0,True,right,left,1.482720136642456,725232,
1,1,True,right,left,0.9981229305267334,725232,
1,2,False,right,right,0.8229489326477051,725232,
1,3,True,left,left,0.6265997886657715,725232,
1,4,False,left,left,0.678596019744873,725232,
1,5,True,left,left,0.6274220943450928,725232,
1,6,False,right,left,0.6427171230316162,725232,
1,7,False,left,right,0.8947620391845703,725232,
1,8,False,left,left,0.6779880523681641,725232,
1,9,True,right,right,1.2794878482818604,725232,
1,10,False,right,left,0.8260550498962402,725232,
1,11,True,left,left,0.544532060623169,725232,
1,12,True,left,left,0.5438680648803711,725232,
1,13,True,left,left,0.5398380756378174,725232,
1,14,True,left,left,0.6789050102233887,725232,
1,15,False,right,right,0.5735929012298584,725232,
1,16,False,left,left,0.7432920932769775,725232,
1,17,False,right,right,0.48861098289489746,725232,
1,18,False,right,right,0.5651199817657471,725232,
1,19,True,left,left,0.4868149757385254,725232,
1,20,True,left,left,0.5767269134521484,725232,
1,21,True,right,right,0.9136688709259033,725232,
1,22,True,left,left,0.4708881378173828,725232,
1,23,True,right,left,0.9284040927886963,725232,
1,24,True,right,right,0.7394261360168457,725232,
1,25,False,right,left,0.5428869724273682,725232,
1,26,False,right,right,0.548102855682373,725232,
1,27,False,left,left,0.7002561092376709,725232,
1,28,True,left,left,0.7260000705718994,725232,
1,29,True,left,left,0.5444869995117188,725232,
1,30,True,left,left,0.6946280002593994,725232,
1,31,True,left,left,0.5548551082611084,725232,
1,32,False,left,right,1.3606200218200684,725232,
1,33,False,right,right,0.23541903495788574,725232,
1,34,False,left,right,0.6570799350738525,725232,
1,35,True,right,right,0.5748507976531982,725232,
1,36,False,left,left,0.6586489677429199,725232,
1,37,True,left,left,0.7603600025177002,725232,
1,38,False,right,right,0.5455179214477539,725232,
1,39,True,right,right,0.800713062286377,725232,
1,40,True,left,left,0.7440438270568848,725232,
1,41,False,right,right,0.5221779346466064,725232,
1,42,True,right,right,0.7195379734039307,725232,
1,43,True,left,left,0.744981050491333,725232,
1,44,True,right,right,0.6292531490325928,725232,
1,45,False,right,left,0.5973870754241943,725232,
1,46,True,right,right,0.6622400283813477,725232,
1,47,True,left,left,0.574800968170166,725232,
1,48,False,left,right,0.8821799755096436,725232,
1,49,False,right,right,0.8991930484771729,725232,
1,50,True,right,right,1.125432014465332,725232,
1,51,True,right,right,0.6694951057434082,725232,
1,52,False,right,left,0.6758770942687988,725232,
1,53,True,right,right,0.6175868511199951,725232,
1,54,False,right,right,0.7849991321563721,725232,
1,55,False,left,right,0.8270900249481201,725232,
1,56,False,left,left,0.5983259677886963,725232,
1,57,False,left,right,0.7168071269989014,725232,
1,58,True,right,right,0.6832230091094971,725232,
1,59,False,left,right,0.6553080081939697,725232,
1,60,True,right,right,0.6673500537872314,725232,
1,61,True,left,left,0.621265172958374,725232,
1,62,True,left,left,0.5714209079742432,725232,
1,63,True,right,right,0.5390610694885254,725232,
1,64,True,right,right,0.5883991718292236,725232,
1,65,True,left,left,0.6106729507446289,725232,
1,66,True,right,right,0.7177300453186035,725232,
1,67,False,left,right,0.7938659191131592,725232,
1,68,False,right,left,1.0363390445709229,725232,
1,69,True,right,right,0.8635640144348145,725232,
1,70,True,right,right,0.5728249549865723,725232,
1,71,False,left,right,1.0383989810943604,725232,
1,72,False,right,right,0.6327080726623535,725232,
1,73,True,left,left,0.5873141288757324,725232,
1,74,True,right,right,0.7224071025848389,725232,
1,75,True,right,right,0.7251839637756348,725232,
1,76,True,right,right,0.6042590141296387,725232,
1,77,True,right,left,0.6158361434936523,725232,
1,78,False,left,right,0.5331978797912598,725232,
1,79,True,right,right,0.5475690364837646,725232,
1,80,True,left,left,0.6824710369110107,725232,
1,81,True,right,right,0.679034948348999,725232,
1,82,False,left,right,0.7505159378051758,725232,
1,83,True,left,left,0.6949670314788818,725232,
1,84,True,right,right,0.842383861541748,725232,
1,85,True,right,right,0.8668670654296875,725232,
1,86,False,left,left,0.7386579513549805,725232,
1,87,True,left,left,0.6955349445343018,725232,
1,88,False,right,right,0.6588311195373535,725232,
1,89,False,left,left,1.8404669761657715,725232,
1,90,True,left,left,0.6206121444702148,725232,
1,91,True,left,left,0.5675148963928223,725232,
1,92,False,left,left,0.5513181686401367,725232,
1,93,True,left,left,0.6335461139678955,725232,
1,94,False,left,right,1.4334430694580078,725232,
1,95,True,right,right,0.5563600063323975,725232,
1,96,False,left,left,0.6217410564422607,725232,
1,97,True,right,right,0.6967699527740479,725232,
1,98,False,left,right,0.8062419891357422,725232,
1,99,False,right,left,0.5815098285675049,725232,
2,0,True,right,right,0.6819629669189453,725232,
2,1,False,left,left,0.5755059719085693,725232,
2,2,False,left,right,0.44864988327026367,725232,
2,3,True,right,right,0.6695411205291748,725232,
2,4,False,right,right,0.7070109844207764,725232,
2,5,False,left,right,0.7862439155578613,725232,
2,6,True,right,right,0.7777948379516602,725232,
2,7,True,left,left,0.6271181106567383,725232,
2,8,False,left,right,0.9698479175567627,725232,
2,9,True,right,right,0.7129108905792236,725232,
2,10,False,right,right,0.9233319759368896,725232,
2,11,False,left,left,0.7302041053771973,725232,
2,12,False,right,right,0.6068680286407471,725232,
2,13,True,left,left,0.5803909301757812,725232,
2,14,True,right,right,0.7620449066162109,725232,
2,15,False,left,left,0.5581259727478027,725232,
2,16,True,left,left,0.790024995803833,725232,
2,17,True,right,right,0.8129990100860596,725232,
2,18,False,left,left,0.7028050422668457,725232,
2,19,True,right,right,0.6400821208953857,725232,
2,20,False,right,right,0.7002701759338379,725232,
2,21,True,left,left,0.646759033203125,725232,
2,22,True,right,right,0.6390271186828613,725232,
2,23,False,right,left,0.5656559467315674,725232,
2,24,False,right,left,0.7927379608154297,725232,
2,25,False,left,left,0.7482180595397949,725232,
2,26,False,right,right,0.8302290439605713,725232,
2,27,True,left,left,0.6696348190307617,725232,
2,28,False,left,right,0.8607349395751953,725232,
2,29,False,right,right,1.2727570533752441,725232,
2,30,True,left,left,0.5415239334106445,725232,
2,31,False,right,left,0.7686159610748291,725232,
2,32,False,left,left,0.622971773147583,725232,
2,33,False,right,right,1.006964921951294,725232,
2,34,True,right,right,0.7334141731262207,725232,
2,35,False,right,left,0.5370590686798096,725232,
2,36,False,left,right,0.7636702060699463,725232,
2,37,False,left,left,0.5861918926239014,725232,
2,38,True,left,left,0.6290609836578369,725232,
2,39,False,left,left,1.5942258834838867,725232,
2,40,True,left,left,0.8191359043121338,725232,
2,41,True,left,left,0.6334078311920166,725232,
2,42,True,left,left,0.6195240020751953,725232,
2,43,False,left,right,1.7188079357147217,725232,
2,44,True,left,left,0.4971590042114258,725232,
2,45,False,right,left,1.1477158069610596,725232,
2,46,True,right,right,0.8742878437042236,725232,
2,47,True,right,right,0.7435321807861328,725232,
2,48,False,left,right,0.7446949481964111,725232,
2,49,True,right,right,1.0127458572387695,725232,
2,50,True,left,left,0.6385300159454346,725232,
2,51,True,left,left,0.7012159824371338,725232,
2,52,True,left,left,0.7284820079803467,725232,
2,53,False,right,right,0.7485220432281494,725232,
2,54,True,left,left,0.5605101585388184,725232,
2,55,True,left,left,0.5235450267791748,725232,
2,56,True,left,left,0.819310188293457,725232,
2,57,False,right,left,0.47934889793395996,725232,
2,58,True,right,right,0.9152400493621826,725232,
2,59,False,left,right,0.5691759586334229,725232,
2,60,True,right,right,0.9789900779724121,725232,
2,61,True,left,left,0.6156799793243408,725232,
2,62,True,left,left,0.6204869747161865,725232,
2,63,True,left,left,0.6173839569091797,725232,
2,64,True,right,left,0.9516780376434326,725232,
2,65,False,left,left,0.5478429794311523,725232,
2,66,True,left,left,1.1938719749450684,725232,
2,67,True,right,right,0.7964160442352295,725232,
2,68,True,left,left,0.6372718811035156,725232,
2,69,True,left,left,0.740231990814209,725232,
2,70,False,right,left,1.1281280517578125,725232,
2,71,True,right,right,0.7741889953613281,725232,
2,72,True,left,left,0.6399931907653809,725232,
2,73,False,right,right,0.6633541584014893,725232,
2,74,False,right,left,0.7038540840148926,725232,
2,75,True,left,left,0.6804051399230957,725232,
2,76,True,right,right,1.2913661003112793,725232,
2,77,True,right,right,0.9802601337432861,725232,
2,78,False,left,right,1.669830083847046,725232,
