block,trial,s1_state,direction,response,rt,pair,
0,0,False,right,right,0.6927988529205322,897304,
0,1,True,left,left,0.578549861907959,897304,
0,2,False,right,right,0.5186271667480469,897304,
0,3,True,left,right,0.4946119785308838,897304,
0,4,True,right,right,0.41735196113586426,897304,
0,5,False,right,left,0.5048079490661621,897304,
0,6,False,left,left,0.5082669258117676,897304,
0,7,False,left,left,0.6862189769744873,897304,
0,8,False,left,left,0.5516259670257568,897304,
0,9,False,left,left,0.555185079574585,897304,
0,10,True,left,right,0.5088398456573486,897304,
0,11,True,right,right,0.5053229331970215,897304,
0,12,False,left,left,0.6556470394134521,897304,
0,13,True,left,right,0.44629716873168945,897304,
0,14,False,left,left,0.7218608856201172,897304,
0,15,False,left,left,0.5564119815826416,897304,
0,16,True,right,right,0.4327080249786377,897304,
0,17,False,left,left,0.6322169303894043,897304,
0,18,False,right,left,0.7416191101074219,897304,
0,19,False,right,right,0.7132551670074463,897304,
0,20,True,right,right,0.5314121246337891,897304,
0,21,True,right,right,0.4739210605621338,897304,
0,22,False,right,left,0.9410290718078613,897304,
0,23,True,left,right,0.5215950012207031,897304,
0,24,False,left,left,0.6537058353424072,897304,
0,25,False,left,left,0.5615029335021973,897304,
0,26,True,right,right,0.468782901763916,897304,
0,27,True,left,right,0.3614637851715088,897304,
0,28,True,left,left,0.41306400299072266,897304,
0,29,True,right,right,0.5317661762237549,897304,
0,30,False,right,right,0.7919671535491943,897304,
0,31,True,left,left,0.3503601551055908,897304,
0,32,False,left,left,0.9447169303894043,897304,
0,33,True,left,right,0.5336220264434814,897304,
0,34,True,left,right,0.4298520088195801,897304,
0,35,True,left,left,0.5242419242858887,897304,
0,36,True,left,left,0.423259973526001,897304,
0,37,True,right,left,0.3909718990325928,897304,
0,38,False,left,left,1.2704520225524902,897304,
0,39,True,left,left,0.49058008193969727,897304,
0,40,False,left,left,0.703559160232544,897304,
0,41,False,right,right,0.9609160423278809,897304,
0,42,False,left,left,0.6009547710418701,897304,
0,43,True,left,right,0.5259850025177002,897304,
0,44,True,right,right,0.4483048915863037,897304,
0,45,False,left,left,0.6404459476470947,897304,
0,46,True,left,right,0.40679001808166504,897304,
0,47,True,right,right,0.59840989112854,897304,
0,48,False,right,left,1.1685891151428223,897304,
0,49,True,right,right,0.5248088836669922,897304,
0,50,True,left,right,0.48487401008605957,897304,
0,51,True,right,right,0.49941396713256836,897304,
0,52,True,left,right,0.5856420993804932,897304,
0,53,False,right,right,0.7328379154205322,897304,
0,54,True,right,left,0.9482312202453613,897304,
0,55,False,right,right,1.0138778686523438,897304,
0,56,True,right,right,0.45986008644104004,897304,
0,57,True,right,right,0.49419498443603516,897304,
0,58,False,left,left,0.631411075592041,897304,
0,59,True,left,left,0.6278021335601807,897304,
0,60,False,left,left,0.6222488880157471,897304,
0,61,True,left,right,0.5528721809387207,897304,
0,62,False,right,right,0.4498579502105713,897304,
0,63,True,right,right,0.42541980743408203,897304,
0,64,True,right,right,0.4275939464569092,897304,
0,65,False,right,right,0.7455790042877197,897304,
0,66,True,left,left,0.4995250701904297,897304,
0,67,False,right,right,0.7001700401306152,897304,
0,68,False,right,right,0.4927330017089844,897304,
0,69,True,left,left,0.4530608654022217,897304,
0,70,False,left,left,0.5935289859771729,897304,
0,71,True,left,left,0.5105469226837158,897304,
0,72,True,left,left,0.5317058563232422,897304,
0,73,True,left,left,0.47985196113586426,897304,
0,74,False,left,left,0.8217868804931641,897304,
0,75,False,left,left,0.8581910133361816,897304,
0,76,False,right,right,0.7034189701080322,897304,
0,77,False,right,right,0.7990589141845703,897304,
0,78,True,left,left,0.42863988876342773,897304,
0,79,False,right,right,0.8251299858093262,897304,
0,80,False,right,right,0.6556830406188965,897304,
0,81,False,right,right,0.6607060432434082,897304,
0,82,True,right,right,0.5359060764312744,897304,
0,83,False,left,right,0.7251670360565186,897304,
0,84,False,right,right,0.7570230960845947,897304,
0,85,False,right,right,0.6569080352783203,897304,
0,86,False,left,right,0.6156461238861084,897304,
0,87,True,right,right,0.52811598777771,897304,
0,88,True,right,right,0.4295940399169922,897304,
0,89,False,right,right,0.6885659694671631,897304,
0,90,False,right,right,0.7213869094848633,897304,
0,91,True,right,left,0.4906609058380127,897304,
0,92,False,left,right,1.3827531337738037,897304,
0,93,False,right,right,0.8366608619689941,897304,
0,94,True,left,left,0.6535980701446533,897304,
0,95,False,right,right,0.7008578777313232,897304,
0,96,True,left,left,0.7227411270141602,897304,
0,97,False,right,right,0.9001369476318359,897304,
0,98,False,right,right,0.745966911315918,897304,
0,99,False,right,right,0.7661769390106201,897304,
1,0,True,left,left,0.861299991607666,897304,
1,1,False,left,left,1.04105806350708,897304,
1,2,False,left,left,0.7848279476165771,897304,
1,3,False,right,right,0.6841549873352051,897304,
1,4,False,left,left,0.6392230987548828,897304,
1,5,False,left,left,0.6426990032196045,897304,
1,6,True,right,right,0.4574589729309082,897304,
1,7,False,right,left,1.16611909866333,897304,
1,8,True,left,left,0.6032040119171143,897304,
1,9,False,left,left,1.1600351333618164,897304,
1,10,True,left,left,0.7586669921875,897304,
1,11,True,right,right,0.41307902336120605,897304,
