block,trial,s1_state,direction,response,rt,pair,
0,0,False,right,right,1.2530930042266846,958733,
0,1,True,right,right,0.6528511047363281,958733,
0,2,False,right,right,0.5068759918212891,958733,
0,3,True,left,left,0.43904805183410645,958733,
0,4,True,right,right,0.5989789962768555,958733,
0,5,True,left,right,0.6941661834716797,958733,
0,6,False,right,right,0.6296560764312744,958733,
0,7,False,right,right,0.6883950233459473,958733,
0,8,False,left,right,0.6834521293640137,958733,
0,9,False,left,right,0.6213541030883789,958733,
0,10,True,right,left,0.7413201332092285,958733,
0,11,False,left,right,0.8334319591522217,958733,
0,12,False,left,right,1.128066062927246,958733,
0,13,False,right,right,0.9018700122833252,958733,
0,14,False,right,right,0.7189879417419434,958733,
0,15,False,left,left,0.9499101638793945,958733,
0,16,False,left,left,0.9576189517974854,958733,
0,17,True,right,right,0.6151289939880371,958733,
0,18,False,left,left,0.9103131294250488,958733,
0,19,True,right,right,0.6021468639373779,958733,
0,20,False,left,left,1.099881887435913,958733,
0,21,True,right,right,0.5149691104888916,958733,
0,22,True,left,right,0.8934860229492188,958733,
0,23,False,right,right,0.6104230880737305,958733,
0,24,True,left,left,0.7364768981933594,958733,
0,25,True,right,right,0.790930986404419,958733,
0,26,False,left,left,0.9408178329467773,958733,
0,27,True,left,right,0.457348108291626,958733,
0,28,False,left,left,0.8038320541381836,958733,
0,29,False,right,right,1.15739107131958,958733,
0,30,False,right,left,1.0053818225860596,958733,
0,31,True,left,right,0.3272261619567871,958733,
0,32,False,right,left,1.0577480792999268,958733,
0,33,False,right,right,1.1311869621276855,958733,
0,34,False,right,right,1.3851890563964844,958733,
0,35,False,left,left,1.040252923965454,958733,
0,36,True,left,right,0.5731689929962158,958733,
0,37,False,right,left,0.9613199234008789,958733,
0,38,True,right,right,0.6808340549468994,958733,
0,39,False,right,right,1.2621369361877441,958733,
0,40,True,left,left,0.728233814239502,958733,
0,41,True,right,right,0.6337628364562988,958733,
0,42,True,left,right,0.8244028091430664,958733,
0,43,False,left,right,0.9940872192382812,958733,
0,44,True,left,left,0.6484320163726807,958733,
0,45,False,left,right,1.2414610385894775,958733,
0,46,False,left,right,1.002060890197754,958733,
0,47,True,right,right,0.6365151405334473,958733,
0,48,False,left,left,0.7323219776153564,958733,
0,49,False,right,right,0.8065218925476074,958733,
0,50,False,right,left,0.7067451477050781,958733,
0,51,True,left,left,1.009127140045166,958733,
0,52,False,left,left,0.8523929119110107,958733,
0,53,False,right,right,0.8094658851623535,958733,
0,54,True,left,left,0.7214550971984863,958733,
0,55,True,left,left,0.888469934463501,958733,
0,56,True,left,right,0.9051411151885986,958733,
0,57,True,right,left,0.21950793266296387,958733,
0,58,False,right,right,1.0865259170532227,958733,
0,59,False,right,right,0.8478879928588867,958733,
0,60,True,right,left,0.6960139274597168,958733,
0,61,False,right,right,0.7976319789886475,958733,
0,62,False,left,right,0.9618580341339111,958733,
0,63,False,left,right,0.8772931098937988,958733,
0,64,True,right,right,0.525698184967041,958733,
0,65,False,right,right,0.7421820163726807,958733,
0,66,True,left,left,0.5473840236663818,958733,
0,67,False,left,right,1.0212512016296387,958733,
0,68,False,right,right,0.9111220836639404,958733,
0,69,False,right,left,1.055328130722046,958733,
0,70,True,left,right,0.27289915084838867,958733,
0,71,False,left,right,0.714512825012207,958733,
0,72,True,right,right,0.5742249488830566,958733,
0,73,True,right,right,0.4924929141998291,958733,
0,74,False,left,left,1.2020609378814697,958733,
0,75,False,left,left,0.6471209526062012,958733,
0,76,True,right,right,0.5402038097381592,958733,
0,77,True,right,right,0.5224008560180664,958733,
0,78,False,left,left,0.8447999954223633,958733,
0,79,True,right,right,0.730726957321167,958733,
0,80,False,right,left,1.3416759967803955,958733,
0,81,True,left,left,0.5549111366271973,958733,
0,82,True,left,left,0.6099281311035156,958733,
0,83,True,right,right,0.6582310199737549,958733,
0,84,False,left,left,0.7643311023712158,958733,
0,85,False,left,left,0.6078600883483887,958733,
0,86,False,right,left,0.8631370067596436,958733,
0,87,True,left,left,0.8104968070983887,958733,
0,88,False,right,right,1.036571979522705,958733,
0,89,False,right,right,0.7670910358428955,958733,
0,90,False,right,right,0.6247968673706055,958733,
0,91,False,right,left,0.8678770065307617,958733,
0,92,False,right,right,0.695626974105835,958733,
0,93,True,left,right,0.6357901096343994,958733,
0,94,True,right,right,0.5989120006561279,958733,
0,95,False,left,left,0.8638179302215576,958733,
0,96,True,left,left,0.7993710041046143,958733,
0,97,False,left,right,1.1992759704589844,958733,
0,98,True,left,left,0.7036449909210205,958733,
0,99,True,left,left,0.7603280544281006,958733,
1,0,True,right,left,1.4672651290893555,958733,
1,1,False,right,right,0.8893070220947266,958733,
1,2,True,right,left,0.9069840908050537,958733,
1,3,True,left,left,0.7358419895172119,958733,
1,4,True,right,right,0.4927191734313965,958733,
1,5,True,left,right,1.1910250186920166,958733,
1,6,True,left,right,0.8477249145507812,958733,
1,7,False,left,left,1.238556146621704,958733,
1,8,True,right,right,0.7002809047698975,958733,
1,9,False,left,right,0.789207935333252,958733,
1,10,False,right,right,0.8165500164031982,958733,
1,11,False,left,right,0.7162051200866699,958733,
1,12,True,right,right,0.5744609832763672,958733,
1,13,True,left,left,0.8511450290679932,958733,
1,14,False,left,left,0.3648550510406494,958733,
1,15,False,right,right,0.9189209938049316,958733,
1,16,True,right,left,0.9650771617889404,958733,
1,17,False,left,left,1.178745985031128,958733,
1,18,True,right,left,1.1059231758117676,958733,
1,19,False,right,right,0.8669579029083252,958733,
1,20,False,right,right,0.757922887802124,958733,
1,21,True,right,left,0.8610172271728516,958733,
1,22,True,left,left,0.8845889568328857,958733,
1,23,True,left,right,1.1615960597991943,958733,
1,24,False,right,right,0.8462061882019043,958733,
1,25,False,left,left,1.627129077911377,958733,
1,26,False,right,right,0.8848831653594971,958733,
1,27,True,right,left,0.7326631546020508,958733,
1,28,False,right,left,0.8784630298614502,958733,
1,29,True,right,left,0.9868409633636475,958733,
1,30,True,right,left,1.0321760177612305,958733,
1,31,True,right,left,1.0477111339569092,958733,
1,32,True,left,right,0.7328610420227051,958733,
1,33,False,left,left,0.7229819297790527,958733,
1,34,False,left,left,0.8119361400604248,958733,
1,35,True,right,right,0.9133460521697998,958733,
1,36,True,right,right,0.8559880256652832,958733,
1,37,False,left,left,0.8172540664672852,958733,
1,38,False,right,left,0.5288710594177246,958733,
1,39,True,right,left,0.7036550045013428,958733,
1,40,False,left,left,0.5441081523895264,958733,
1,41,False,left,left,0.5627150535583496,958733,
1,42,True,right,right,0.5642399787902832,958733,
1,43,True,right,right,0.6967611312866211,958733,
1,44,False,right,left,0.7337729930877686,958733,
