condition,.thisRepN,.thisTrialN,.thisN,.thisIndex,block,trial,response,pair_id,chamber,threshold,
noise,0,-1,-1,0,1,0,8,9281,2,0.01463605020035419,
signal,0,-1,-1,0,1,1,7,9281,2,0.01463605020035419,
noise,0,-1,-1,0,1,2,7,9281,2,0.01463605020035419,
noise,0,-1,-1,0,1,3,8,9281,2,0.01463605020035419,
signal,0,-1,-1,0,1,4,8,9281,2,0.01463605020035419,
signal,0,-1,-1,0,1,5,7,9281,2,0.01463605020035419,
noise,0,-1,-1,0,1,6,8,9281,2,0.01463605020035419,
signal,0,-1,-1,0,1,7,7,9281,2,0.01463605020035419,
signal,0,-1,-1,0,1,8,8,9281,2,0.01463605020035419,
noise,0,-1,-1,0,1,9,7,9281,2,0.01463605020035419,
signal,0,-1,-1,0,1,10,8,9281,2,0.01463605020035419,
signal,0,-1,-1,0,1,11,8,9281,2,0.01463605020035419,
noise,0,-1,-1,0,1,12,8,9281,2,0.01463605020035419,
signal,0,-1,-1,0,1,13,7,9281,2,0.01463605020035419,
signal,0,-1,-1,0,1,14,7,9281,2,0.01463605020035419,
signal,0,-1,-1,0,1,15,8,9281,2,0.01463605020035419,
signal,0,-1,-1,0,1,16,8,9281,2,0.01463605020035419,
noise,0,-1,-1,0,1,17,8,9281,2,0.01463605020035419,
signal,0,-1,-1,0,1,18,8,9281,2,0.01463605020035419,
noise,0,-1,-1,0,1,19,8,9281,2,0.01463605020035419,
noise,0,-1,-1,0,1,20,8,9281,2,0.01463605020035419,
noise,0,-1,-1,0,1,21,8,9281,2,0.01463605020035419,
noise,0,-1,-1,0,1,22,8,9281,2,0.01463605020035419,
signal,0,-1,-1,0,1,23,8,9281,2,0.01463605020035419,
noise,0,-1,-1,0,1,24,8,9281,2,0.01463605020035419,
signal,0,-1,-1,0,1,25,8,9281,2,0.01463605020035419,
noise,0,-1,-1,0,1,26,8,9281,2,0.01463605020035419,
signal,0,-1,-1,0,1,27,8,9281,2,0.01463605020035419,
noise,0,-1,-1,0,1,28,8,9281,2,0.01463605020035419,
noise,0,-1,-1,0,1,29,8,9281,2,0.01463605020035419,
noise,0,-1,-1,0,1,30,8,9281,2,0.01463605020035419,
signal,0,-1,-1,0,1,31,8,9281,2,0.01463605020035419,
signal,0,-1,-1,0,1,32,8,9281,2,0.01463605020035419,
noise,0,-1,-1,0,1,33,8,9281,2,0.01463605020035419,
signal,0,-1,-1,0,1,34,7,9281,2,0.01463605020035419,
signal,0,-1,-1,0,1,35,8,9281,2,0.01463605020035419,
signal,0,-1,-1,0,1,36,8,9281,2,0.01463605020035419,
signal,0,-1,-1,0,1,37,7,9281,2,0.01463605020035419,
signal,0,-1,-1,0,1,38,8,9281,2,0.01463605020035419,
signal,0,-1,-1,0,1,39,8,9281,2,0.01463605020035419,
noise,0,-1,-1,0,1,40,8,9281,2,0.01463605020035419,
signal,0,-1,-1,0,1,41,7,9281,2,0.01463605020035419,
noise,0,-1,-1,0,1,42,8,9281,2,0.01463605020035419,
signal,0,-1,-1,0,1,43,8,9281,2,0.01463605020035419,
noise,0,-1,-1,0,1,44,8,9281,2,0.01463605020035419,
signal,0,-1,-1,0,1,45,8,9281,2,0.01463605020035419,
noise,0,-1,-1,0,1,46,8,9281,2,0.01463605020035419,
noise,0,-1,-1,0,1,47,8,9281,2,0.01463605020035419,
signal,0,-1,-1,0,1,48,8,9281,2,0.01463605020035419,
noise,0,-1,-1,0,1,49,8,9281,2,0.01463605020035419,
noise,0,-1,-1,0,1,50,8,9281,2,0.01463605020035419,
signal,0,-1,-1,0,1,51,8,9281,2,0.01463605020035419,
noise,0,-1,-1,0,1,52,8,9281,2,0.01463605020035419,
signal,0,-1,-1,0,1,53,8,9281,2,0.01463605020035419,
signal,0,-1,-1,0,1,54,7,9281,2,0.01463605020035419,
noise,0,-1,-1,0,1,55,8,9281,2,0.01463605020035419,
noise,0,-1,-1,0,1,56,8,9281,2,0.01463605020035419,
signal,0,-1,-1,0,1,57,8,9281,2,0.01463605020035419,
signal,0,-1,-1,0,1,58,8,9281,2,0.01463605020035419,
noise,0,-1,-1,0,1,59,8,9281,2,0.01463605020035419,
signal,0,-1,-1,0,1,60,8,9281,2,0.01463605020035419,
noise,0,-1,-1,0,1,61,8,9281,2,0.01463605020035419,
noise,0,-1,-1,0,1,62,8,9281,2,0.01463605020035419,
signal,0,-1,-1,0,1,63,8,9281,2,0.01463605020035419,
signal,0,-1,-1,0,1,64,8,9281,2,0.01463605020035419,
