condition,.thisRepN,.thisTrialN,.thisN,.thisIndex,block,trial,totalTrials,s1_state,s2_state,response,rt,pair,
signal,0,-1,-1,0,1,1,1,1,0,yes,1.5015978000010364,2,
noise,0,-1,-1,0,1,2,2,0,1,no,0.9468259999994189,2,
signal,0,-1,-1,0,1,3,3,1,0,yes,1.5050807000370696,2,
signal,0,-1,-1,0,1,4,4,0,1,no,0.9776982999756001,2,
noise,0,-1,-1,0,1,5,5,0,1,None,None,2,
noise,0,-1,-1,0,1,6,6,0,1,None,None,2,
noise,0,-1,-1,0,2,1,7,0,1,None,None,2,
noise,0,-1,-1,0,2,2,8,0,1,None,None,2,
signal,0,-1,-1,0,2,3,9,1,0,None,None,2,
noise,0,-1,-1,0,2,4,10,0,1,None,None,2,
signal,0,-1,-1,0,2,5,11,1,0,None,None,2,
signal,0,-1,-1,0,2,6,12,0,1,None,None,2,
