condition,.thisRepN,.thisTrialN,.thisN,.thisIndex,block,trial,totalTrials,s1_state,s2_state,response,rt,pair,
signal,0,-1,-1,0,1,1,1,1,0,no,0.850532054901123,1,
noise,0,-1,-1,0,1,2,2,0,1,no,1.051042079925537,1,
noise,0,-1,-1,0,1,3,3,1,0,noresponse,0,1,
noise,0,-1,-1,0,1,4,4,1,0,noresponse,0,1,
signal,0,-1,-1,0,1,5,5,1,0,yes,1.5677971839904785,1,
signal,0,-1,-1,0,1,6,6,1,0,yes,1.1507899761199951,1,
noise,0,-1,-1,0,1,7,7,1,0,no,1.1175978183746338,1,
noise,0,-1,-1,0,1,8,8,0,1,no,1.2511489391326904,1,
noise,0,-1,-1,0,1,9,9,0,1,no,1.2009971141815186,1,
noise,0,-1,-1,0,1,10,10,0,1,no,1.1009290218353271,1,
noise,0,-1,-1,0,1,11,11,0,1,no,1.0842499732971191,1,
signal,0,-1,-1,0,1,12,12,1,0,yes,1.0341911315917969,1,
signal,0,-1,-1,0,1,13,13,0,1,yes,0.9008471965789795,1,
signal,0,-1,-1,0,1,14,14,1,0,yes,0.7545499801635742,1,
noise,0,-1,-1,0,1,15,15,0,1,no,0.8175508975982666,1,
noise,0,-1,-1,0,1,16,16,0,1,no,0.9174590110778809,1,
noise,0,-1,-1,0,1,17,17,1,0,no,0.9174399375915527,1,
signal,0,-1,-1,0,1,18,18,1,0,yes,0.8041939735412598,1,
noise,0,-1,-1,0,1,19,19,1,0,no,1.8216218948364258,1,
noise,0,-1,-1,0,1,20,20,1,0,no,0.967494010925293,1,
signal,0,-1,-1,0,1,21,21,0,1,yes,0.7839579582214355,1,
signal,0,-1,-1,0,1,22,22,1,0,yes,0.8340110778808594,1,
noise,0,-1,-1,0,1,23,23,0,1,no,0.7674851417541504,1,
noise,0,-1,-1,0,1,24,24,1,0,no,1.4048969745635986,1,
noise,0,-1,-1,0,1,25,25,0,1,no,0.7007310390472412,1,
noise,0,-1,-1,0,1,26,26,0,1,no,0.8007011413574219,1,
signal,0,-1,-1,0,1,27,27,1,0,yes,0.8212668895721436,1,
signal,0,-1,-1,0,1,28,28,1,0,yes,0.77093505859375,1,
signal,0,-1,-1,0,1,29,29,1,0,yes,0.6671350002288818,1,
signal,0,-1,-1,0,1,30,30,1,0,yes,1.0340321063995361,1,
noise,0,-1,-1,0,1,31,31,0,1,no,0.8508780002593994,1,
noise,0,-1,-1,0,1,32,32,0,1,no,0.6839299201965332,1,
signal,0,-1,-1,0,1,33,33,1,0,yes,1.0508129596710205,1,
