condition,.thisRepN,.thisTrialN,.thisN,.thisIndex,block,trial,totalTrials,s1_state,s2_state,response,rt,pair,
signal,0,-1,-1,0,1,1,1,0,0,yes,1.0007388591766357,34,
noise,0,-1,-1,0,1,2,2,0,1,no,1.518099069595337,34,
noise,0,-1,-1,0,1,3,3,1,0,no,0.7508368492126465,34,
signal,0,-1,-1,0,1,4,4,0,1,yes,1.1010088920593262,34,
noise,0,-1,-1,0,1,5,5,1,0,no,0.6341218948364258,34,
signal,0,-1,-1,0,1,6,6,0,1,yes,0.9173779487609863,34,
signal,0,-1,-1,0,2,1,7,0,1,yes,0.650428056716919,34,
signal,0,-1,-1,0,2,2,8,0,1,yes,1.6180999279022217,34,
noise,0,-1,-1,0,2,3,9,1,0,no,0.9213838577270508,34,
noise,0,-1,-1,0,2,4,10,0,1,no,1.000891923904419,34,
noise,0,-1,-1,0,2,5,11,0,1,no,1.151003122329712,34,
signal,0,-1,-1,0,2,6,12,0,1,yes,0.6171300411224365,34,
signal,0,-1,-1,0,3,1,13,0,1,no,1.5511829853057861,34,
noise,0,-1,-1,0,3,2,14,1,0,no,0.784153938293457,34,
noise,0,-1,-1,0,3,3,15,0,1,no,1.2345709800720215,34,
signal,0,-1,-1,0,3,4,16,1,0,yes,0.734062910079956,34,
noise,0,-1,-1,0,3,5,17,0,1,no,1.1177988052368164,34,
signal,0,-1,-1,0,3,6,18,1,0,yes,1.922102928161621,34,
signal,0,-1,-1,0,4,1,19,1,0,yes,0.6504638195037842,34,
signal,0,-1,-1,0,4,2,20,0,1,yes,0.7338669300079346,34,
noise,0,-1,-1,0,4,3,21,0,1,no,0.8708791732788086,34,
signal,0,-1,-1,0,4,4,22,0,1,yes,1.5217411518096924,34,
noise,0,-1,-1,0,4,5,23,1,0,no,1.5550708770751953,34,
noise,0,-1,-1,0,4,6,24,1,0,no,1.067737102508545,34,
signal,0,-1,-1,0,5,1,25,0,1,no,1.3011500835418701,34,
signal,0,-1,-1,0,5,2,26,1,0,yes,1.021130084991455,34,
noise,0,-1,-1,0,5,3,27,1,0,no,0.6841349601745605,34,
signal,0,-1,-1,0,5,4,28,0,1,yes,0.6838099956512451,34,
noise,0,-1,-1,0,5,5,29,0,1,no,1.101149082183838,34,
noise,0,-1,-1,0,5,6,30,1,0,no,0.6878800392150879,34,
signal,0,0,0,2,6,1,31,0,1,yes,1.0841319561004639,34,
noise,0,1,1,3,6,2,32,1,0,no,0.600736141204834,34,
noise,0,2,2,1,6,3,33,0,1,no,0.9876611232757568,34,
signal,0,3,3,4,6,4,34,0,1,yes,0.7709739208221436,34,
signal,0,4,4,0,6,5,35,0,1,yes,0.6208488941192627,34,
noise,0,5,5,5,6,6,36,0,1,no,1.1011600494384766,34,
