condition,.thisRepN,.thisTrialN,.thisN,.thisIndex,block,trial,totalTrials,s1_state,s2_state,response,rt,pair,
signal,0,-1,-1,0,1,1,1,1,0,yes,1.4468271732330322,10,
noise,0,-1,-1,0,1,2,2,0,1,no,1.890829086303711,10,
noise,0,-1,-1,0,1,3,3,1,0,no,1.3241260051727295,10,
signal,0,-1,-1,0,1,4,4,1,0,yes,1.549194097518921,10,
noise,0,-1,-1,0,1,5,5,1,0,no,1.5072989463806152,10,
signal,0,-1,-1,0,1,6,6,1,0,noresponse,None,10,
noise,0,-1,-1,0,1,7,7,0,1,noresponse,None,10,
signal,0,-1,-1,0,1,8,8,0,1,yes,1.6257729530334473,10,
noise,0,-1,-1,0,1,9,9,1,0,no,1.0303950309753418,10,
noise,0,-1,-1,0,1,10,10,1,0,noresponse,None,10,
noise,0,-1,-1,0,1,11,11,0,1,no,1.6435120105743408,10,
noise,0,-1,-1,0,1,12,12,0,1,no,1.8243560791015625,10,
signal,0,-1,-1,0,1,13,13,0,1,yes,1.7594759464263916,10,
signal,0,-1,-1,0,1,14,14,0,1,yes,1.7820029258728027,10,
noise,0,-1,-1,0,1,15,15,1,0,no,1.6889331340789795,10,
noise,0,-1,-1,0,1,16,16,0,1,no,1.4153339862823486,10,
signal,0,-1,-1,0,1,17,17,1,0,yes,1.2416229248046875,10,
signal,0,-1,-1,0,1,18,18,0,1,yes,1.3995110988616943,10,
signal,0,-1,-1,0,1,19,19,1,0,yes,1.477276086807251,10,
signal,0,-1,-1,0,1,20,20,0,1,yes,1.297544002532959,10,
signal,0,-1,-1,0,1,21,21,0,1,yes,1.1960811614990234,10,
signal,0,-1,-1,0,1,22,22,0,1,yes,1.0144779682159424,10,
noise,0,-1,-1,0,1,23,23,0,1,no,2.0487539768218994,10,
noise,0,-1,-1,0,1,24,24,1,0,no,1.1014811992645264,10,
noise,0,-1,-1,0,1,25,25,0,1,no,1.5717411041259766,10,
signal,0,-1,-1,0,1,26,26,1,0,noresponse,None,10,
noise,0,-1,-1,0,1,27,27,1,0,no,1.2189178466796875,10,
signal,0,-1,-1,0,1,28,28,0,1,yes,1.0582289695739746,10,
noise,0,-1,-1,0,1,29,29,1,0,no,1.1736059188842773,10,
noise,0,-1,-1,0,1,30,30,1,0,no,1.3811309337615967,10,
signal,0,-1,-1,0,1,31,31,1,0,yes,1.4223370552062988,10,
noise,0,-1,-1,0,1,32,32,1,0,noresponse,None,10,
signal,0,-1,-1,0,1,33,33,1,0,yes,0.723107099533081,10,
noise,0,-1,-1,0,1,34,34,1,0,no,2.0457661151885986,10,
signal,0,-1,-1,0,1,35,35,0,1,yes,0.8561549186706543,10,
noise,0,-1,-1,0,1,36,36,1,0,no,0.9190428256988525,10,
noise,0,-1,-1,0,1,37,37,1,0,no,1.051628828048706,10,
signal,0,-1,-1,0,1,38,38,0,1,yes,0.8358190059661865,10,
noise,0,-1,-1,0,1,39,39,0,1,no,1.1664071083068848,10,
noise,0,-1,-1,0,1,40,40,1,0,no,0.8464610576629639,10,
noise,0,-1,-1,0,1,41,41,0,1,no,0.9667301177978516,10,
noise,0,-1,-1,0,1,42,42,1,0,no,0.9060258865356445,10,
signal,0,-1,-1,0,1,43,43,1,0,yes,2.139892101287842,10,
noise,0,-1,-1,0,1,44,44,1,0,no,2.0111918449401855,10,
signal,0,-1,-1,0,1,45,45,0,1,yes,0.9738729000091553,10,
signal,0,-1,-1,0,1,46,46,0,1,yes,0.9758689403533936,10,
noise,0,-1,-1,0,1,47,47,0,1,no,1.2918479442596436,10,
noise,0,-1,-1,0,1,48,48,0,1,no,1.4278209209442139,10,
signal,0,-1,-1,0,1,49,49,1,0,yes,1.0632851123809814,10,
signal,0,-1,-1,0,1,50,50,0,1,yes,1.043834924697876,10,
noise,0,-1,-1,0,1,51,51,1,0,no,0.9817900657653809,10,
signal,0,-1,-1,0,1,52,52,1,0,yes,1.6754920482635498,10,
signal,0,-1,-1,0,1,53,53,1,0,yes,1.0495810508728027,10,
signal,0,-1,-1,0,1,54,54,1,0,no,0.8780691623687744,10,
noise,0,-1,-1,0,1,55,55,1,0,no,1.2741358280181885,10,
signal,0,-1,-1,0,1,56,56,1,0,yes,0.8113241195678711,10,
