condition,.thisRepN,.thisTrialN,.thisN,.thisIndex,block,trial,totalTrials,s1_state,s2_state,response,rt,pair,
signal,0,-1,-1,0,1,1,1,0,1,yes,1.0454130172729492,11,
signal,0,-1,-1,0,1,2,2,1,0,yes,1.1241941452026367,11,
signal,0,-1,-1,0,1,3,3,1,0,yes,1.0880701541900635,11,
noise,0,-1,-1,0,1,4,4,1,0,no,1.0789110660552979,11,
noise,0,-1,-1,0,1,5,5,1,0,no,1.0893878936767578,11,
signal,0,-1,-1,0,1,6,6,0,1,yes,1.0913910865783691,11,
noise,0,-1,-1,0,1,7,7,0,1,noresponse,None,11,
signal,0,-1,-1,0,1,8,8,1,0,yes,1.507051944732666,11,
noise,0,-1,-1,0,1,9,9,1,0,no,0.8976659774780273,11,
noise,0,-1,-1,0,1,10,10,0,1,no,1.5672550201416016,11,
signal,0,-1,-1,0,1,11,11,0,1,yes,1.6513168811798096,11,
signal,0,-1,-1,0,1,12,12,1,0,yes,0.9170939922332764,11,
noise,0,-1,-1,0,1,13,13,1,0,no,0.8288450241088867,11,
noise,0,-1,-1,0,1,14,14,1,0,no,0.9061088562011719,11,
signal,0,-1,-1,0,1,15,15,0,1,noresponse,None,11,
noise,0,-1,-1,0,1,16,16,0,1,no,0.9868462085723877,11,
signal,0,-1,-1,0,1,17,17,1,0,yes,1.304332971572876,11,
signal,0,-1,-1,0,1,18,18,1,0,yes,1.0235240459442139,11,
noise,0,-1,-1,0,1,19,19,1,0,no,0.8796820640563965,11,
signal,0,-1,-1,0,1,20,20,0,1,yes,1.7573840618133545,11,
noise,0,-1,-1,0,1,21,21,0,1,no,0.8397679328918457,11,
noise,0,-1,-1,0,1,22,22,1,0,noresponse,None,11,
signal,0,-1,-1,0,1,23,23,1,0,yes,0.8187341690063477,11,
noise,0,-1,-1,0,1,24,24,0,1,no,1.2332899570465088,11,
noise,0,-1,-1,0,1,25,25,0,1,no,0.7569670677185059,11,
signal,0,-1,-1,0,1,26,26,1,0,yes,1.9960341453552246,11,
signal,0,-1,-1,0,1,27,27,0,1,yes,1.7716610431671143,11,
signal,0,-1,-1,0,1,28,28,0,1,yes,1.7523648738861084,11,
noise,0,-1,-1,0,1,29,29,0,1,no,1.0151870250701904,11,
noise,0,-1,-1,0,1,30,30,0,1,no,2.0476489067077637,11,
noise,0,-1,-1,0,1,31,31,1,0,no,0.8659679889678955,11,
signal,0,-1,-1,0,1,32,32,0,1,noresponse,None,11,
signal,0,-1,-1,0,1,33,33,1,0,yes,1.1277830600738525,11,
signal,0,-1,-1,0,1,34,34,1,0,yes,0.9542388916015625,11,
signal,0,-1,-1,0,1,35,35,1,0,yes,1.0026819705963135,11,
noise,0,-1,-1,0,1,36,36,1,0,no,1.3471100330352783,11,
noise,0,-1,-1,0,1,37,37,1,0,no,1.8643019199371338,11,
noise,0,-1,-1,0,1,38,38,0,1,no,1.6401450634002686,11,
signal,0,-1,-1,0,1,39,39,1,0,yes,0.9112420082092285,11,
noise,0,-1,-1,0,1,40,40,0,1,no,1.0980310440063477,11,
noise,0,0,0,35,2,1,41,1,0,no,0.8208239078521729,11,
signal,0,1,1,6,2,2,42,0,1,yes,1.2690699100494385,11,
noise,0,2,2,27,2,3,43,1,0,no,1.2468171119689941,11,
noise,0,3,3,11,2,4,44,0,1,no,1.8740839958190918,11,
signal,0,4,4,2,2,5,45,1,0,yes,1.957604169845581,11,
noise,0,5,5,21,2,6,46,0,1,no,0.9267880916595459,11,
signal,0,6,6,8,2,7,47,0,1,yes,1.133025884628296,11,
signal,0,7,7,24,2,8,48,1,0,yes,1.6420800685882568,11,
signal,0,8,8,32,2,9,49,0,1,yes,1.7450830936431885,11,
noise,0,9,9,9,2,10,50,1,0,no,1.176218032836914,11,
noise,0,10,10,29,2,11,51,0,1,no,1.5250861644744873,11,
noise,0,11,11,7,2,12,52,0,1,no,1.5999631881713867,11,
noise,0,12,12,13,2,13,53,1,0,no,1.2597980499267578,11,
noise,0,13,13,31,2,14,54,0,1,no,0.8154170513153076,11,
noise,0,14,14,1,2,15,55,1,0,no,0.9896831512451172,11,
signal,0,15,15,26,2,16,56,0,1,yes,1.0361909866333008,11,
signal,0,16,16,34,2,17,57,1,0,yes,1.7863750457763672,11,
noise,0,17,17,33,2,18,58,1,0,no,1.070707082748413,11,
signal,0,18,18,22,2,19,59,0,1,yes,0.8858528137207031,11,
signal,0,19,19,12,2,20,60,0,1,yes,1.1475989818572998,11,
noise,0,20,20,15,2,21,61,1,0,no,1.5534420013427734,11,
noise,0,21,21,3,2,22,62,1,0,no,0.9518110752105713,11,
signal,0,22,22,18,2,23,63,0,1,yes,1.5505619049072266,11,
signal,0,23,23,28,2,24,64,0,1,yes,1.4770159721374512,11,
noise,0,24,24,23,2,25,65,1,0,no,1.0130739212036133,11,
signal,0,25,25,4,2,26,66,0,1,yes,1.1030468940734863,11,
signal,0,26,26,0,2,27,67,1,0,noresponse,None,11,
noise,0,27,27,19,2,28,68,1,0,no,1.042344093322754,11,
signal,0,28,28,38,2,29,69,1,0,yes,2.046898126602173,11,
signal,0,29,29,20,2,30,70,1,0,yes,1.144637107849121,11,
signal,0,30,30,16,2,31,71,0,1,yes,1.4337849617004395,11,
noise,0,31,31,39,2,32,72,1,0,no,1.255734920501709,11,
signal,0,32,32,30,2,33,73,0,1,no,1.1378610134124756,11,
signal,0,33,33,14,2,34,74,1,0,yes,0.7753250598907471,11,
noise,0,34,34,17,2,35,75,0,1,no,1.536834955215454,11,
noise,0,35,35,25,2,36,76,1,0,no,1.1197071075439453,11,
noise,0,36,36,37,2,37,77,0,1,no,0.854835033416748,11,
noise,0,37,37,5,2,38,78,0,1,no,1.0207839012145996,11,
signal,0,38,38,10,2,39,79,1,0,yes,1.8552289009094238,11,
signal,0,39,39,36,2,40,80,1,0,yes,2.15278697013855,11,
