condition,.thisRepN,.thisTrialN,.thisN,.thisIndex,block,trial,totalTrials,s1_state,s2_state,response,rt,pair,
noise,0,-1,-1,0,1,1,1,1,0,no,1.5678071975708008,10,
signal,0,-1,-1,0,1,2,2,0,1,noresponse,None,10,
signal,0,-1,-1,0,1,3,3,0,1,noresponse,None,10,
noise,0,-1,-1,0,1,4,4,1,0,no,0.9977920055389404,10,
signal,0,-1,-1,0,1,5,5,1,0,yes,1.3956470489501953,10,
noise,0,-1,-1,0,1,6,6,0,1,noresponse,None,10,
noise,0,-1,-1,0,1,7,7,0,1,noresponse,None,10,
signal,0,-1,-1,0,1,8,8,1,0,yes,1.559283971786499,10,
signal,0,-1,-1,0,1,9,9,0,1,noresponse,None,10,
signal,0,-1,-1,0,1,10,10,0,1,noresponse,None,10,
noise,0,-1,-1,0,1,11,11,0,1,noresponse,None,10,
noise,0,-1,-1,0,1,12,12,0,1,noresponse,None,10,
noise,0,-1,-1,0,1,13,13,0,1,noresponse,None,10,
signal,0,-1,-1,0,1,14,14,0,1,noresponse,None,10,
noise,0,-1,-1,0,1,15,15,0,1,noresponse,None,10,
signal,0,-1,-1,0,1,16,16,1,0,noresponse,None,10,
noise,0,-1,-1,0,1,17,17,1,0,no,1.836332082748413,10,
noise,0,-1,-1,0,1,18,18,1,0,no,1.1847350597381592,10,
noise,0,-1,-1,0,1,19,19,1,0,no,1.2593858242034912,10,
noise,0,-1,-1,0,1,20,20,0,1,noresponse,None,10,
noise,0,-1,-1,0,1,21,21,0,1,noresponse,None,10,
noise,0,-1,-1,0,1,22,22,0,1,noresponse,None,10,
signal,0,-1,-1,0,1,23,23,1,0,yes,1.4214699268341064,10,
noise,0,-1,-1,0,1,24,24,1,0,no,1.160140037536621,10,
noise,0,-1,-1,0,1,25,25,1,0,no,1.091836929321289,10,
signal,0,-1,-1,0,1,26,26,0,1,noresponse,None,10,
signal,0,-1,-1,0,1,27,27,1,0,yes,1.0466439723968506,10,
noise,0,-1,-1,0,1,28,28,0,1,noresponse,None,10,
noise,0,-1,-1,0,1,29,29,0,1,noresponse,None,10,
signal,0,-1,-1,0,1,30,30,1,0,yes,1.160917043685913,10,
noise,0,-1,-1,0,1,31,31,0,1,noresponse,None,10,
signal,0,-1,-1,0,1,32,32,0,1,noresponse,None,10,
noise,0,-1,-1,0,1,33,33,1,0,no,0.928333044052124,10,
signal,0,-1,-1,0,1,34,34,1,0,yes,1.1991019248962402,10,
signal,0,-1,-1,0,1,35,35,0,1,noresponse,None,10,
noise,0,-1,-1,0,1,36,36,1,0,no,1.075166940689087,10,
signal,0,-1,-1,0,1,37,37,1,0,yes,1.2847890853881836,10,
noise,0,-1,-1,0,1,38,38,1,0,no,1.3605740070343018,10,
signal,0,-1,-1,0,1,39,39,0,1,noresponse,None,10,
signal,0,-1,-1,0,1,40,40,1,0,yes,1.0799338817596436,10,
signal,0,-1,-1,0,1,41,41,0,1,noresponse,None,10,
noise,0,-1,-1,0,1,42,42,1,0,no,0.9845178127288818,10,
noise,0,-1,-1,0,1,43,43,0,1,noresponse,None,10,
signal,0,-1,-1,0,1,44,44,0,1,noresponse,None,10,
signal,0,-1,-1,0,1,45,45,1,0,yes,1.103682041168213,10,
signal,0,-1,-1,0,1,46,46,0,1,noresponse,None,10,
noise,0,-1,-1,0,1,47,47,0,1,noresponse,None,10,
noise,0,-1,-1,0,1,48,48,1,0,no,0.9503049850463867,10,
noise,0,-1,-1,0,1,49,49,0,1,noresponse,None,10,
signal,0,-1,-1,0,1,50,50,0,1,noresponse,None,10,
signal,0,-1,-1,0,1,51,51,1,0,yes,1.1630308628082275,10,
noise,0,-1,-1,0,1,52,52,0,1,noresponse,None,10,
signal,0,-1,-1,0,1,53,53,0,1,noresponse,None,10,
signal,0,-1,-1,0,1,54,54,0,1,noresponse,None,10,
signal,0,-1,-1,0,1,55,55,1,0,yes,0.9979519844055176,10,
signal,0,-1,-1,0,1,56,56,0,1,noresponse,None,10,
noise,0,-1,-1,0,1,57,57,1,0,no,1.142096996307373,10,
noise,0,-1,-1,0,1,58,58,1,0,no,1.0946719646453857,10,
noise,0,-1,-1,0,1,59,59,0,1,noresponse,None,10,
signal,0,-1,-1,0,1,60,60,1,0,yes,0.9413280487060547,10,
signal,0,-1,-1,0,1,61,61,1,0,yes,1.2245540618896484,10,
noise,0,-1,-1,0,1,62,62,1,0,no,0.932574987411499,10,
signal,0,-1,-1,0,1,63,63,0,1,noresponse,None,10,
signal,0,-1,-1,0,1,64,64,0,1,noresponse,None,10,
noise,0,-1,-1,0,1,65,65,1,0,no,1.230591058731079,10,
noise,0,-1,-1,0,1,66,66,0,1,noresponse,None,10,
signal,0,-1,-1,0,1,67,67,0,1,noresponse,None,10,
noise,0,-1,-1,0,1,68,68,1,0,no,1.7387449741363525,10,
signal,0,-1,-1,0,1,69,69,1,0,yes,0.9668781757354736,10,
noise,0,-1,-1,0,1,70,70,0,1,noresponse,None,10,
signal,0,-1,-1,0,1,71,71,0,1,noresponse,None,10,
signal,0,-1,-1,0,1,72,72,0,1,noresponse,None,10,
noise,0,-1,-1,0,1,73,73,0,1,noresponse,None,10,
signal,0,-1,-1,0,1,74,74,1,0,yes,0.9128880500793457,10,
signal,0,-1,-1,0,1,75,75,0,1,noresponse,None,10,
noise,0,-1,-1,0,1,76,76,0,1,noresponse,None,10,
signal,0,-1,-1,0,1,77,77,0,1,noresponse,None,10,
noise,0,-1,-1,0,1,78,78,0,1,noresponse,None,10,
signal,0,-1,-1,0,1,79,79,0,1,noresponse,None,10,
noise,0,-1,-1,0,1,80,80,1,0,no,1.0293669700622559,10,
signal,0,-1,-1,0,2,1,81,0,1,noresponse,None,10,
noise,0,-1,-1,0,2,2,82,1,0,no,1.0683820247650146,10,
noise,0,-1,-1,0,2,3,83,0,1,noresponse,None,10,
signal,0,-1,-1,0,2,4,84,0,1,noresponse,None,10,
signal,0,-1,-1,0,2,5,85,0,1,noresponse,None,10,
noise,0,-1,-1,0,2,6,86,0,1,noresponse,None,10,
noise,0,-1,-1,0,2,7,87,1,0,no,0.8938469886779785,10,
noise,0,-1,-1,0,2,8,88,1,0,no,1.0502328872680664,10,
signal,0,-1,-1,0,2,9,89,1,0,yes,1.1842529773712158,10,
signal,0,-1,-1,0,2,10,90,0,1,noresponse,None,10,
noise,0,-1,-1,0,2,11,91,1,0,no,0.8993749618530273,10,
signal,0,-1,-1,0,2,12,92,1,0,yes,1.058763027191162,10,
signal,0,-1,-1,0,2,13,93,0,1,noresponse,None,10,
noise,0,-1,-1,0,2,14,94,1,0,no,0.9970169067382812,10,
signal,0,-1,-1,0,2,15,95,1,0,yes,1.1188781261444092,10,
noise,0,-1,-1,0,2,16,96,1,0,no,0.9711790084838867,10,
noise,0,-1,-1,0,2,17,97,1,0,no,0.9508881568908691,10,
noise,0,-1,-1,0,2,18,98,1,0,no,1.1079418659210205,10,
signal,0,-1,-1,0,2,19,99,1,0,yes,0.9439361095428467,10,
noise,0,-1,-1,0,2,20,100,0,1,noresponse,None,10,
noise,0,-1,-1,0,2,21,101,0,1,noresponse,None,10,
signal,0,-1,-1,0,2,22,102,0,1,noresponse,None,10,
signal,0,-1,-1,0,2,23,103,1,0,yes,1.1982650756835938,10,
signal,0,-1,-1,0,2,24,104,1,0,yes,1.4345800876617432,10,
noise,0,-1,-1,0,2,25,105,0,1,noresponse,None,10,
noise,0,-1,-1,0,2,26,106,1,0,no,1.0975890159606934,10,
noise,0,-1,-1,0,2,27,107,1,0,no,0.9069092273712158,10,
signal,0,-1,-1,0,2,28,108,0,1,noresponse,None,10,
signal,0,-1,-1,0,2,29,109,0,1,noresponse,None,10,
signal,0,-1,-1,0,2,30,110,1,0,yes,1.0820960998535156,10,
noise,0,-1,-1,0,2,31,111,1,0,no,1.0874969959259033,10,
noise,0,-1,-1,0,2,32,112,0,1,noresponse,None,10,
noise,0,-1,-1,0,2,33,113,0,1,noresponse,None,10,
signal,0,-1,-1,0,2,34,114,0,1,noresponse,None,10,
signal,0,-1,-1,0,2,35,115,1,0,yes,1.0230062007904053,10,
noise,0,-1,-1,0,2,36,116,0,1,noresponse,None,10,
signal,0,-1,-1,0,2,37,117,0,1,noresponse,None,10,
signal,0,-1,-1,0,2,38,118,0,1,noresponse,None,10,
signal,0,-1,-1,0,2,39,119,1,0,yes,1.105576992034912,10,
signal,0,-1,-1,0,2,40,120,1,0,yes,0.9932417869567871,10,
noise,0,-1,-1,0,2,41,121,0,1,noresponse,None,10,
noise,0,-1,-1,0,2,42,122,0,1,noresponse,None,10,
signal,0,-1,-1,0,2,43,123,0,1,noresponse,None,10,
noise,0,-1,-1,0,2,44,124,0,1,noresponse,None,10,
noise,0,-1,-1,0,2,45,125,1,0,no,0.9512531757354736,10,
noise,0,-1,-1,0,2,46,126,1,0,no,0.8833801746368408,10,
signal,0,-1,-1,0,2,47,127,1,0,yes,0.9522988796234131,10,
signal,0,-1,-1,0,2,48,128,1,0,yes,0.8966848850250244,10,
signal,0,-1,-1,0,2,49,129,0,1,noresponse,None,10,
signal,0,-1,-1,0,2,50,130,1,0,yes,1.0679070949554443,10,
noise,0,-1,-1,0,2,51,131,1,0,no,0.8373799324035645,10,
noise,0,-1,-1,0,2,52,132,1,0,no,0.85440993309021,10,
noise,0,-1,-1,0,2,53,133,0,1,noresponse,None,10,
noise,0,-1,-1,0,2,54,134,0,1,noresponse,None,10,
signal,0,-1,-1,0,2,55,135,1,0,yes,0.8560068607330322,10,
noise,0,-1,-1,0,2,56,136,1,0,no,1.065342903137207,10,
signal,0,-1,-1,0,2,57,137,0,1,noresponse,None,10,
noise,0,-1,-1,0,2,58,138,0,1,noresponse,None,10,
noise,0,-1,-1,0,2,59,139,0,1,noresponse,None,10,
noise,0,-1,-1,0,2,60,140,0,1,noresponse,None,10,
signal,0,-1,-1,0,2,61,141,1,0,yes,1.2172110080718994,10,
signal,0,-1,-1,0,2,62,142,0,1,noresponse,None,10,
signal,0,-1,-1,0,2,63,143,1,0,yes,0.9371850490570068,10,
signal,0,-1,-1,0,2,64,144,1,0,yes,0.8613200187683105,10,
noise,0,-1,-1,0,2,65,145,0,1,noresponse,None,10,
noise,0,-1,-1,0,2,66,146,1,0,no,0.8584167957305908,10,
noise,0,-1,-1,0,2,67,147,1,0,no,0.9477641582489014,10,
noise,0,-1,-1,0,2,68,148,0,1,noresponse,None,10,
signal,0,-1,-1,0,2,69,149,1,0,yes,1.1079909801483154,10,
signal,0,-1,-1,0,2,70,150,1,0,yes,0.8510749340057373,10,
