condition,.thisRepN,.thisTrialN,.thisN,.thisIndex,block,trial,totalTrials,s1_state,s2_state,response,rt,pair,
signal,0,-1,-1,0,1,1,1,0,0,no,0.7171669006347656,35,
noise,0,-1,-1,0,1,2,2,1,0,no,1.4013819694519043,35,
noise,0,-1,-1,0,1,3,3,0,1,yes,1.8516030311584473,35,
noise,0,-1,-1,0,1,4,4,0,1,no,1.734816074371338,35,
signal,0,-1,-1,0,1,5,5,0,1,yes,1.1844091415405273,35,
signal,0,-1,-1,0,1,6,6,1,0,no,1.0545039176940918,35,
signal,0,-1,-1,0,2,1,7,1,0,yes,1.3843638896942139,35,
signal,0,-1,-1,0,2,2,8,1,0,yes,1.2344748973846436,35,
noise,0,-1,-1,0,2,3,9,0,1,no,1.1176509857177734,35,
signal,0,-1,-1,0,2,4,10,0,1,yes,1.0175399780273438,35,
noise,0,-1,-1,0,2,5,11,1,0,no,1.2012050151824951,35,
noise,0,-1,-1,0,2,6,12,0,1,no,1.1211071014404297,35,
noise,0,-1,-1,0,3,1,13,0,1,no,0.9176120758056641,35,
signal,0,-1,-1,0,3,2,14,1,0,yes,1.0714340209960938,35,
noise,0,-1,-1,0,3,3,15,0,1,yes,0.35054612159729004,35,
signal,0,-1,-1,0,3,4,16,1,0,yes,0.6874699592590332,35,
signal,0,-1,-1,0,3,5,17,1,0,yes,0.617124080657959,35,
noise,0,-1,-1,0,3,6,18,1,0,yes,0.5004539489746094,35,
noise,0,-1,-1,0,4,1,19,1,0,no,0.8506472110748291,35,
signal,0,-1,-1,0,4,2,20,1,0,yes,0.6671419143676758,35,
noise,0,-1,-1,0,4,3,21,1,0,no,0.9677259922027588,35,
noise,0,-1,-1,0,4,4,22,0,1,yes,0.9009850025177002,35,
signal,0,-1,-1,0,4,5,23,1,0,yes,1.067627191543579,35,
signal,0,-1,-1,0,4,6,24,0,1,no,0.48776912689208984,35,
noise,0,-1,-1,0,5,1,25,1,0,no,0.9843668937683105,35,
signal,0,-1,-1,0,5,2,26,0,1,yes,0.8172049522399902,35,
noise,0,-1,-1,0,5,3,27,1,0,no,1.217736005783081,35,
signal,0,-1,-1,0,5,4,28,1,0,yes,0.9508740901947021,35,
noise,0,-1,-1,0,5,5,29,0,1,no,0.7212398052215576,35,
signal,0,-1,-1,0,5,6,30,1,0,yes,0.9007039070129395,35,
signal,0,0,0,4,6,1,31,1,0,yes,0.7504880428314209,35,
noise,0,1,1,1,6,2,32,1,0,no,1.5013039112091064,35,
noise,0,2,2,5,6,3,33,1,0,noresponse,0,35,
noise,0,3,3,3,6,4,34,1,0,no,0.9543108940124512,35,
signal,0,4,4,0,6,5,35,1,0,yes,0.7506709098815918,35,
signal,0,5,5,2,6,6,36,0,1,yes,0.6004478931427002,35,
