condition,.thisRepN,.thisTrialN,.thisN,.thisIndex,block,trial,s1_state,response,rt,pair,
signal,0,-1,-1,0,1,0,False,yes,1.180053949356079,81,
noise,0,-1,-1,0,1,1,False,no,0.7981858253479004,81,
noise,0,-1,-1,0,1,2,False,no,0.9138619899749756,81,
signal,0,-1,-1,0,1,3,True,yes,1.2263591289520264,81,
signal,0,-1,-1,0,1,4,False,yes,0.7818770408630371,81,
noise,0,-1,-1,0,1,5,False,yes,1.4377548694610596,81,
signal,0,-1,-1,0,1,6,True,yes,1.1863071918487549,81,
signal,0,-1,-1,0,1,7,True,yes,0.8439619541168213,81,
noise,0,-1,-1,0,1,8,True,no,1.5960049629211426,81,
noise,0,-1,-1,0,1,9,False,no,1.1281139850616455,81,
signal,0,-1,-1,0,1,10,False,yes,0.7602510452270508,81,
noise,0,-1,-1,0,1,11,True,no,0.8758800029754639,81,
noise,0,-1,-1,0,1,12,True,no,1.1559970378875732,81,
noise,0,-1,-1,0,1,13,False,no,1.1470561027526855,81,
noise,0,-1,-1,0,1,14,True,no,1.6906721591949463,81,
noise,0,-1,-1,0,1,15,True,no,0.6203999519348145,81,
noise,0,-1,-1,0,1,16,False,no,0.9604439735412598,81,
noise,0,-1,-1,0,1,17,True,no,0.8415298461914062,81,
noise,0,-1,-1,0,1,18,False,no,0.7910590171813965,81,
signal,0,-1,-1,0,1,19,True,yes,0.7608718872070312,81,
signal,0,-1,-1,0,1,20,True,yes,0.9182569980621338,81,
noise,0,-1,-1,0,1,21,False,no,1.3882410526275635,81,
noise,0,-1,-1,0,1,22,False,no,0.9571888446807861,81,
signal,0,-1,-1,0,1,23,False,yes,0.8441941738128662,81,
signal,0,-1,-1,0,1,24,False,yes,0.6498050689697266,81,
signal,0,-1,-1,0,1,25,False,yes,0.6813440322875977,81,
noise,0,-1,-1,0,1,26,True,noresponse,None,81,
noise,0,-1,-1,0,1,27,False,no,1.0673279762268066,81,
signal,0,-1,-1,0,1,28,True,yes,1.165910005569458,81,
signal,0,-1,-1,0,1,29,False,yes,0.8776741027832031,81,
noise,0,-1,-1,0,1,30,False,no,0.7877650260925293,81,
noise,0,-1,-1,0,1,31,False,no,1.237083911895752,81,
noise,0,-1,-1,0,1,32,True,no,0.8694708347320557,81,
signal,0,-1,-1,0,1,33,True,yes,0.9561171531677246,81,
signal,0,-1,-1,0,1,34,False,yes,1.1432089805603027,81,
signal,0,-1,-1,0,1,35,True,yes,0.9620399475097656,81,
signal,0,-1,-1,0,1,36,False,yes,0.7200348377227783,81,
noise,0,-1,-1,0,1,37,True,no,1.2628052234649658,81,
noise,0,-1,-1,0,1,38,False,no,0.5429840087890625,81,
noise,0,-1,-1,0,1,39,False,yes,0.961338996887207,81,
signal,0,-1,-1,0,1,40,True,yes,1.4219038486480713,81,
signal,0,-1,-1,0,1,41,False,yes,0.8603799343109131,81,
noise,0,-1,-1,0,1,42,True,no,1.1048200130462646,81,
signal,0,-1,-1,0,1,43,False,yes,0.7643451690673828,81,
signal,0,-1,-1,0,1,44,True,noresponse,None,81,
noise,0,-1,-1,0,1,45,False,no,0.7650430202484131,81,
signal,0,-1,-1,0,1,46,True,yes,1.0893230438232422,81,
noise,0,-1,-1,0,1,47,True,no,1.476658821105957,81,
noise,0,-1,-1,0,1,48,True,no,1.060586929321289,81,
signal,0,-1,-1,0,1,49,False,yes,1.314391851425171,81,
noise,0,-1,-1,0,1,50,False,no,0.7441239356994629,81,
noise,0,-1,-1,0,1,51,False,no,0.8812050819396973,81,
signal,0,-1,-1,0,1,52,False,yes,0.7578468322753906,81,
signal,0,-1,-1,0,1,53,True,yes,0.9117980003356934,81,
signal,0,-1,-1,0,1,54,False,yes,1.0591390132904053,81,
noise,0,-1,-1,0,1,55,True,no,1.2040481567382812,81,
signal,0,-1,-1,0,1,56,True,yes,1.3251380920410156,81,
signal,0,-1,-1,0,1,57,False,no,1.5666890144348145,81,
signal,0,-1,-1,0,1,58,False,yes,0.8675599098205566,81,
noise,0,-1,-1,0,1,59,True,no,0.8619570732116699,81,
signal,0,-1,-1,0,1,60,True,yes,1.0046138763427734,81,
signal,0,-1,-1,0,1,61,False,no,1.2420971393585205,81,
signal,0,-1,-1,0,1,62,False,yes,1.033592939376831,81,
signal,0,-1,-1,0,1,63,False,yes,1.3258681297302246,81,
signal,0,-1,-1,0,1,64,False,yes,0.8117070198059082,81,
noise,0,-1,-1,0,1,65,False,no,1.0690040588378906,81,
noise,0,-1,-1,0,1,66,False,no,0.8282389640808105,81,
noise,0,-1,-1,0,1,67,False,no,1.1306419372558594,81,
signal,0,-1,-1,0,1,68,True,yes,1.2846910953521729,81,
signal,0,-1,-1,0,1,69,False,yes,0.7196788787841797,81,
noise,0,-1,-1,0,1,70,True,no,0.8252439498901367,81,
signal,0,-1,-1,0,1,71,False,yes,1.7929670810699463,81,
noise,0,-1,-1,0,1,72,True,no,0.6339371204376221,81,
signal,0,-1,-1,0,1,73,True,yes,0.7696108818054199,81,
noise,0,-1,-1,0,1,74,True,no,0.7751200199127197,81,
signal,0,-1,-1,0,1,75,True,noresponse,None,81,
noise,0,-1,-1,0,1,76,True,no,2.2133989334106445,81,
noise,0,-1,-1,0,1,77,True,no,0.7569661140441895,81,
signal,0,-1,-1,0,1,78,False,yes,1.463165044784546,81,
noise,0,-1,-1,0,1,79,True,no,1.4393630027770996,81,
noise,0,-1,-1,0,2,0,False,no,1.7197749614715576,81,
noise,0,-1,-1,0,2,1,True,no,1.102518081665039,81,
signal,0,-1,-1,0,2,2,True,yes,1.1766338348388672,81,
noise,0,-1,-1,0,2,3,False,no,1.6609230041503906,81,
noise,0,-1,-1,0,2,4,False,no,0.6323699951171875,81,
signal,0,-1,-1,0,2,5,False,yes,1.3201658725738525,81,
signal,0,-1,-1,0,2,6,False,yes,0.9535818099975586,81,
signal,0,-1,-1,0,2,7,True,yes,0.9508669376373291,81,
signal,0,-1,-1,0,2,8,True,yes,2.215363025665283,81,
signal,0,-1,-1,0,2,9,True,yes,1.8616588115692139,81,
noise,0,-1,-1,0,2,10,False,no,0.551598072052002,81,
signal,0,-1,-1,0,2,11,False,no,1.1652040481567383,81,
noise,0,-1,-1,0,2,12,False,no,1.1437318325042725,81,
signal,0,-1,-1,0,2,13,True,yes,1.0279738903045654,81,
noise,0,-1,-1,0,2,14,False,noresponse,None,81,
signal,0,-1,-1,0,2,15,True,yes,1.391071081161499,81,
noise,0,-1,-1,0,2,16,True,no,1.3621110916137695,81,
signal,0,-1,-1,0,2,17,False,yes,0.7954578399658203,81,
noise,0,-1,-1,0,2,18,False,no,1.465376853942871,81,
noise,0,-1,-1,0,2,19,False,no,1.2239940166473389,81,
signal,0,-1,-1,0,2,20,False,yes,1.4988539218902588,81,
signal,0,-1,-1,0,2,21,True,yes,0.9014790058135986,81,
noise,0,-1,-1,0,2,22,True,no,0.9365999698638916,81,
signal,0,-1,-1,0,2,23,False,yes,0.9822359085083008,81,
signal,0,-1,-1,0,2,24,True,yes,0.7821080684661865,81,
signal,0,-1,-1,0,2,25,False,yes,0.9478049278259277,81,
signal,0,-1,-1,0,2,26,True,yes,1.2506659030914307,81,
signal,0,-1,-1,0,2,27,False,yes,0.9519529342651367,81,
signal,0,-1,-1,0,2,28,False,yes,0.9241540431976318,81,
noise,0,-1,-1,0,2,29,True,no,1.0327720642089844,81,
signal,0,-1,-1,0,2,30,False,yes,0.6998910903930664,81,
noise,0,-1,-1,0,2,31,True,no,1.136768102645874,81,
noise,0,-1,-1,0,2,32,True,no,1.2058329582214355,81,
signal,0,-1,-1,0,2,33,True,yes,1.1588490009307861,81,
noise,0,-1,-1,0,2,34,False,no,1.4707331657409668,81,
noise,0,-1,-1,0,2,35,False,no,2.300924062728882,81,
signal,0,-1,-1,0,2,36,False,yes,1.279344081878662,81,
noise,0,-1,-1,0,2,37,False,no,1.805743932723999,81,
signal,0,-1,-1,0,2,38,True,yes,1.3161029815673828,81,
signal,0,-1,-1,0,2,39,True,yes,1.352193832397461,81,
signal,0,-1,-1,0,2,40,True,yes,0.9829959869384766,81,
noise,0,-1,-1,0,2,41,True,no,0.8455719947814941,81,
noise,0,-1,-1,0,2,42,False,no,0.9027659893035889,81,
signal,0,-1,-1,0,2,43,False,yes,1.275325059890747,81,
noise,0,-1,-1,0,2,44,False,yes,1.1893420219421387,81,
noise,0,-1,-1,0,2,45,True,no,0.9058539867401123,81,
noise,0,-1,-1,0,2,46,False,no,1.3704278469085693,81,
noise,0,-1,-1,0,2,47,True,no,0.7237870693206787,81,
signal,0,-1,-1,0,2,48,False,yes,0.9124689102172852,81,
noise,0,-1,-1,0,2,49,False,no,1.5651960372924805,81,
signal,0,-1,-1,0,2,50,False,yes,0.9495711326599121,81,
noise,0,-1,-1,0,2,51,True,no,1.0034921169281006,81,
signal,0,-1,-1,0,2,52,False,yes,1.0109891891479492,81,
