condition,.thisRepN,.thisTrialN,.thisN,.thisIndex,block,trial,totalTrials,s1_state,s2_state,response,rt,pair,
noise,0,-1,-1,0,1,1,1,0,1,no,1.1327271461486816,1,
noise,0,-1,-1,0,1,2,2,1,0,no,1.1866850852966309,1,
signal,0,-1,-1,0,1,3,3,1,0,yes,0.8483240604400635,1,
signal,0,-1,-1,0,1,4,4,1,0,yes,0.8499550819396973,1,
signal,0,-1,-1,0,1,5,5,0,1,yes,0.9849960803985596,1,
signal,0,-1,-1,0,1,6,6,0,1,yes,0.7807741165161133,1,
noise,0,-1,-1,0,1,7,7,0,1,no,1.2251441478729248,1,
noise,0,-1,-1,0,1,8,8,1,0,no,1.5417311191558838,1,
noise,0,-1,-1,0,1,9,9,0,1,yes,1.7508318424224854,1,
signal,0,-1,-1,0,1,10,10,0,1,yes,1.465893030166626,1,
noise,0,-1,-1,0,1,11,11,1,0,no,0.9589319229125977,1,
signal,0,-1,-1,0,1,12,12,1,0,yes,1.88962721824646,1,
noise,0,-1,-1,0,1,13,13,0,1,no,0.9607439041137695,1,
signal,0,-1,-1,0,1,14,14,1,0,yes,0.9234809875488281,1,
noise,0,-1,-1,0,1,15,15,1,0,no,0.9514498710632324,1,
signal,0,-1,-1,0,1,16,16,1,0,yes,0.831402063369751,1,
noise,0,-1,-1,0,1,17,17,1,0,no,1.1270968914031982,1,
noise,0,-1,-1,0,1,18,18,0,1,no,1.0147449970245361,1,
noise,0,-1,-1,0,1,19,19,1,0,no,0.9361391067504883,1,
signal,0,-1,-1,0,1,20,20,0,1,yes,0.8511600494384766,1,
noise,0,-1,-1,0,1,21,21,1,0,no,0.8633878231048584,1,
signal,0,-1,-1,0,1,22,22,1,0,yes,0.8044929504394531,1,
signal,0,-1,-1,0,1,23,23,1,0,yes,0.7296140193939209,1,
signal,0,-1,-1,0,1,24,24,1,0,yes,0.858051061630249,1,
signal,0,-1,-1,0,1,25,25,1,0,yes,0.7278480529785156,1,
signal,0,-1,-1,0,1,26,26,0,1,yes,1.0455639362335205,1,
signal,0,-1,-1,0,1,27,27,1,0,yes,0.8300008773803711,1,
signal,0,-1,-1,0,1,28,28,0,1,yes,0.9119489192962646,1,
noise,0,-1,-1,0,1,29,29,1,0,no,1.5801100730895996,1,
noise,0,-1,-1,0,1,30,30,1,0,no,0.9732179641723633,1,
noise,0,-1,-1,0,1,31,31,1,0,no,0.8659951686859131,1,
signal,0,-1,-1,0,1,32,32,1,0,yes,0.7019939422607422,1,
signal,0,-1,-1,0,1,33,33,0,1,yes,0.8920238018035889,1,
signal,0,-1,-1,0,1,34,34,1,0,yes,0.7945821285247803,1,
noise,0,-1,-1,0,1,35,35,1,0,no,0.8697910308837891,1,
signal,0,-1,-1,0,1,36,36,0,1,yes,0.7536659240722656,1,
noise,0,-1,-1,0,1,37,37,0,1,no,0.9210059642791748,1,
noise,0,-1,-1,0,1,38,38,0,1,no,0.8238630294799805,1,
noise,0,-1,-1,0,1,39,39,1,0,no,1.0736050605773926,1,
noise,0,-1,-1,0,1,40,40,0,1,no,0.9913439750671387,1,
signal,0,0,0,24,2,1,41,1,0,yes,1.3812921047210693,1,
signal,0,1,1,34,2,2,42,1,0,yes,0.7987639904022217,1,
signal,0,2,2,4,2,3,43,0,1,yes,0.7841119766235352,1,
signal,0,3,3,10,2,4,44,1,0,yes,0.7436628341674805,1,
noise,0,4,4,15,2,5,45,1,0,no,1.8164019584655762,1,
noise,0,5,5,13,2,6,46,1,0,no,0.9298899173736572,1,
signal,0,6,6,6,2,7,47,1,0,yes,0.970574140548706,1,
signal,0,7,7,30,2,8,48,0,1,noresponse,None,1,
signal,0,8,8,20,2,9,49,0,1,yes,0.5611770153045654,1,
signal,0,9,9,32,2,10,50,0,1,yes,0.5828158855438232,1,
noise,0,10,10,29,2,11,51,1,0,no,0.9267158508300781,1,
signal,0,11,11,38,2,12,52,0,1,yes,0.5029888153076172,1,
noise,0,12,12,31,2,13,53,1,0,no,0.8447690010070801,1,
noise,0,13,13,17,2,14,54,1,0,no,1.3006980419158936,1,
signal,0,14,14,22,2,15,55,0,1,yes,0.565526008605957,1,
noise,0,15,15,25,2,16,56,0,1,no,0.8604388236999512,1,
noise,0,16,16,23,2,17,57,1,0,no,0.9390459060668945,1,
signal,0,17,17,12,2,18,58,0,1,noresponse,None,1,
noise,0,18,18,21,2,19,59,1,0,no,0.8648300170898438,1,
noise,0,19,19,9,2,20,60,1,0,no,0.9484457969665527,1,
noise,0,20,20,27,2,21,61,1,0,no,0.9800817966461182,1,
noise,0,21,21,5,2,22,62,1,0,no,1.5292918682098389,1,
noise,0,22,22,19,2,23,63,0,1,no,0.8039369583129883,1,
noise,0,23,23,7,2,24,64,0,1,no,0.8257379531860352,1,
noise,0,24,24,39,2,25,65,1,0,no,0.9908051490783691,1,
signal,0,25,25,2,2,26,66,1,0,yes,0.8455381393432617,1,
noise,0,26,26,37,2,27,67,1,0,no,0.960345983505249,1,
noise,0,27,27,35,2,28,68,1,0,no,0.8716659545898438,1,
signal,0,28,28,26,2,29,69,0,1,yes,0.6997270584106445,1,
noise,0,29,29,1,2,30,70,1,0,no,1.962235927581787,1,
noise,0,30,30,11,2,31,71,1,0,no,0.9009850025177002,1,
signal,0,31,31,18,2,32,72,1,0,yes,0.7922639846801758,1,
signal,0,32,32,8,2,33,73,0,1,yes,0.6503021717071533,1,
signal,0,33,33,0,2,34,74,1,0,yes,0.8616211414337158,1,
signal,0,34,34,36,2,35,75,0,1,yes,0.716655969619751,1,
signal,0,35,35,14,2,36,76,1,0,yes,0.8258719444274902,1,
noise,0,36,36,3,2,37,77,0,1,no,0.8142499923706055,1,
noise,0,37,37,33,2,38,78,1,0,no,0.81905198097229,1,
signal,0,38,38,28,2,39,79,0,1,yes,0.7516269683837891,1,
