condition,.thisRepN,.thisTrialN,.thisN,.thisIndex,block,trial,totalTrials,s1_state,s2_state,response,rt,pair,
signal,0,-1,-1,0,1,1,1,0,1,None,None,2,
noise,0,-1,-1,0,1,2,2,0,1,1,-6.992617300000347,2,
noise,0,-1,-1,0,2,1,3,1,0,None,None,2,
signal,0,-1,-1,0,2,2,4,0,1,1,-7.296224300000176,2,
noise,0,-1,-1,0,3,1,5,1,0,None,None,2,
signal,0,-1,-1,0,3,2,6,1,0,1,-5.729599399999643,2,
noise,0,-1,-1,0,4,1,7,0,1,None,None,2,
signal,0,-1,-1,0,4,2,8,0,1,1,-4.394882399999915,2,
noise,0,-1,-1,0,5,1,9,0,1,None,None,2,
signal,0,-1,-1,0,5,2,10,1,0,1,-6.579674499998873,2,
signal,0,0,0,0,6,1,11,1,0,None,None,2,
noise,0,1,1,1,6,2,12,1,0,1,-7.379368799998701,2,
