condition,.thisRepN,.thisTrialN,.thisN,.thisIndex,block,trial,totalTrials,s1_state,s2_state,response,rt,pair,
noise,0,-1,-1,0,1,1,1,1,0,no,0.7841148376464844,2,
signal,0,-1,-1,0,1,2,2,1,0,yes,1.117487907409668,2,
signal,0,-1,-1,0,1,3,3,0,1,yes,0.7380120754241943,2,
noise,0,-1,-1,0,1,4,4,1,0,no,0.9009189605712891,2,
noise,0,-1,-1,0,1,5,5,1,0,no,2.321920871734619,2,
noise,0,-1,-1,0,1,6,6,1,0,no,2.005035161972046,2,
noise,0,-1,-1,0,1,7,7,1,0,yes,1.0675818920135498,2,
noise,0,-1,-1,0,1,8,8,0,1,no,0.7708759307861328,2,
signal,0,-1,-1,0,1,9,9,0,1,yes,0.667119026184082,2,
noise,0,-1,-1,0,1,10,10,1,0,no,1.6348822116851807,2,
noise,0,-1,-1,0,1,11,11,1,0,yes,0.9541940689086914,2,
signal,0,-1,-1,0,1,12,12,1,0,yes,1.634566068649292,2,
noise,0,-1,-1,0,1,13,13,1,0,no,1.5179119110107422,2,
signal,0,-1,-1,0,1,14,14,0,1,yes,0.934136152267456,2,
signal,0,-1,-1,0,1,15,15,0,1,yes,0.8375880718231201,2,
signal,0,-1,-1,0,1,16,16,0,1,yes,0.7004680633544922,2,
signal,0,-1,-1,0,1,17,17,1,0,yes,1.3178110122680664,2,
noise,0,-1,-1,0,1,18,18,1,0,yes,0.8173661231994629,2,
noise,0,-1,-1,0,1,19,19,1,0,yes,2.021714925765991,2,
signal,0,-1,-1,0,1,20,20,0,1,yes,0.9341979026794434,2,
signal,0,-1,-1,0,1,21,21,1,0,yes,1.57204008102417,2,
signal,0,-1,-1,0,1,22,22,1,0,no,0.5170350074768066,2,
signal,0,-1,-1,0,1,23,23,0,1,yes,0.8507039546966553,2,
noise,0,-1,-1,0,1,24,24,1,0,no,1.9516818523406982,2,
noise,0,-1,-1,0,1,25,25,1,0,no,1.184325933456421,2,
noise,0,-1,-1,0,1,26,26,1,0,no,0.8173611164093018,2,
noise,0,-1,-1,0,1,27,27,1,0,no,0.9042739868164062,2,
noise,0,-1,-1,0,1,28,28,1,0,no,1.4845969676971436,2,
signal,0,-1,-1,0,1,29,29,0,1,yes,0.8547830581665039,2,
signal,0,-1,-1,0,1,30,30,0,1,yes,0.7039790153503418,2,
signal,0,-1,-1,0,1,31,31,0,1,yes,0.667111873626709,2,
signal,0,-1,-1,0,1,32,32,0,1,yes,0.6670989990234375,2,
noise,0,-1,-1,0,1,33,33,0,1,no,0.8674049377441406,2,
signal,0,-1,-1,0,1,34,34,1,0,no,2.10184907913208,2,
noise,0,-1,-1,0,1,35,35,0,1,no,1.1011710166931152,2,
noise,0,-1,-1,0,1,36,36,1,0,no,0.8842878341674805,2,
signal,0,-1,-1,0,1,37,37,0,1,yes,0.8545401096343994,2,
noise,0,-1,-1,0,1,38,38,0,1,no,1.618027925491333,2,
signal,0,-1,-1,0,1,39,39,1,0,yes,1.2176759243011475,2,
signal,0,-1,-1,0,1,40,40,0,1,yes,1.1342918872833252,2,
noise,0,-1,-1,0,1,41,41,0,1,no,0.9341249465942383,2,
