condition,.thisRepN,.thisTrialN,.thisN,.thisIndex,block,trial,totalTrials,s1_state,s2_state,response,rt,pair,
signal,0,-1,-1,0,1,1,1,1,0,no,0.12523889541625977,2,
noise,0,-1,-1,0,1,2,2,1,0,no,1.2752628326416016,2,
signal,0,-1,-1,0,1,3,3,0,1,yes,0.8402199745178223,2,
noise,0,-1,-1,0,1,4,4,0,1,no,0.805448055267334,2,
noise,0,-1,-1,0,1,5,5,0,1,no,1.0637290477752686,2,
noise,0,-1,-1,0,1,6,6,1,0,no,1.7424750328063965,2,
noise,0,-1,-1,0,1,7,7,0,1,no,1.0964970588684082,2,
noise,0,-1,-1,0,1,8,8,0,1,no,0.928551197052002,2,
noise,0,-1,-1,0,1,9,9,0,1,no,1.1380178928375244,2,
noise,0,-1,-1,0,1,10,10,1,0,no,1.108839988708496,2,
noise,0,-1,-1,0,1,11,11,1,0,no,1.5587940216064453,2,
noise,0,-1,-1,0,1,12,12,1,0,no,0.8072519302368164,2,
noise,0,-1,-1,0,1,13,13,0,1,no,1.8449690341949463,2,
signal,0,-1,-1,0,1,14,14,1,0,no,1.126345157623291,2,
noise,0,-1,-1,0,1,15,15,1,0,no,0.6073870658874512,2,
signal,0,-1,-1,0,1,16,16,0,1,yes,1.1605749130249023,2,
noise,0,-1,-1,0,1,17,17,0,1,no,1.1057000160217285,2,
signal,0,-1,-1,0,1,18,18,0,1,yes,0.9158120155334473,2,
signal,0,-1,-1,0,1,19,19,1,0,no,0.534796953201294,2,
noise,0,-1,-1,0,1,20,20,1,0,no,1.370020866394043,2,
noise,0,-1,-1,0,1,21,21,1,0,no,0.6383650302886963,2,
signal,0,-1,-1,0,1,22,22,0,1,yes,0.6668870449066162,2,
noise,0,-1,-1,0,1,23,23,0,1,no,1.125802993774414,2,
signal,0,-1,-1,0,1,24,24,1,0,no,1.4900109767913818,2,
signal,0,-1,-1,0,1,25,25,1,0,no,0.7463240623474121,2,
noise,0,-1,-1,0,1,26,26,0,1,no,1.1222798824310303,2,
signal,0,-1,-1,0,1,27,27,0,1,yes,0.8765280246734619,2,
signal,0,-1,-1,0,1,28,28,1,0,no,1.148526906967163,2,
signal,0,-1,-1,0,1,29,29,1,0,no,0.959989070892334,2,
signal,0,-1,-1,0,1,30,30,1,0,no,0.6075139045715332,2,
