condition,.thisRepN,.thisTrialN,.thisN,.thisIndex,block,trial,response,pair_id,chamber,threshold,
signal,0,-1,-1,0,1,0,7,923,2,0.022173376341988023,
noise,0,-1,-1,0,1,1,8,923,2,0.022173376341988023,
noise,0,-1,-1,0,1,2,8,923,2,0.022173376341988023,
noise,0,-1,-1,0,1,3,8,923,2,0.022173376341988023,
signal,0,-1,-1,0,1,4,7,923,2,0.022173376341988023,
noise,0,-1,-1,0,1,5,8,923,2,0.022173376341988023,
noise,0,-1,-1,0,1,6,8,923,2,0.022173376341988023,
signal,0,-1,-1,0,1,7,7,923,2,0.022173376341988023,
signal,0,-1,-1,0,1,8,8,923,2,0.022173376341988023,
noise,0,-1,-1,0,1,9,8,923,2,0.022173376341988023,
signal,0,-1,-1,0,1,10,7,923,2,0.022173376341988023,
signal,0,-1,-1,0,1,11,8,923,2,0.022173376341988023,
signal,0,-1,-1,0,1,12,7,923,2,0.022173376341988023,
noise,0,-1,-1,0,1,13,8,923,2,0.022173376341988023,
noise,0,-1,-1,0,1,14,8,923,2,0.022173376341988023,
signal,0,-1,-1,0,1,15,7,923,2,0.022173376341988023,
signal,0,-1,-1,0,1,16,7,923,2,0.022173376341988023,
signal,0,-1,-1,0,1,17,7,923,2,0.022173376341988023,
signal,0,-1,-1,0,1,18,7,923,2,0.022173376341988023,
signal,0,-1,-1,0,1,19,8,923,2,0.022173376341988023,
noise,0,-1,-1,0,1,20,8,923,2,0.022173376341988023,
noise,0,-1,-1,0,1,21,8,923,2,0.022173376341988023,
noise,0,-1,-1,0,1,22,7,923,2,0.022173376341988023,
noise,0,-1,-1,0,1,23,8,923,2,0.022173376341988023,
signal,0,-1,-1,0,1,24,8,923,2,0.022173376341988023,
noise,0,-1,-1,0,1,25,8,923,2,0.022173376341988023,
noise,0,-1,-1,0,1,26,8,923,2,0.022173376341988023,
signal,0,-1,-1,0,1,27,8,923,2,0.022173376341988023,
noise,0,-1,-1,0,1,28,8,923,2,0.022173376341988023,
noise,0,-1,-1,0,1,29,8,923,2,0.022173376341988023,
signal,0,-1,-1,0,1,30,7,923,2,0.022173376341988023,
noise,0,-1,-1,0,1,31,8,923,2,0.022173376341988023,
signal,0,-1,-1,0,1,32,8,923,2,0.022173376341988023,
noise,0,-1,-1,0,1,33,8,923,2,0.022173376341988023,
signal,0,-1,-1,0,1,34,7,923,2,0.022173376341988023,
noise,0,-1,-1,0,1,35,8,923,2,0.022173376341988023,
signal,0,-1,-1,0,1,36,7,923,2,0.022173376341988023,
noise,0,-1,-1,0,1,37,8,923,2,0.022173376341988023,
signal,0,-1,-1,0,1,38,8,923,2,0.022173376341988023,
signal,0,-1,-1,0,1,39,7,923,2,0.022173376341988023,
signal,0,-1,-1,0,1,40,7,923,2,0.022173376341988023,
signal,0,-1,-1,0,1,41,8,923,2,0.022173376341988023,
signal,0,-1,-1,0,1,42,8,923,2,0.022173376341988023,
noise,0,-1,-1,0,1,43,8,923,2,0.022173376341988023,
noise,0,-1,-1,0,1,44,8,923,2,0.022173376341988023,
signal,0,-1,-1,0,1,45,noresponse,923,2,0.022173376341988023,
noise,0,-1,-1,0,1,46,8,923,2,0.022173376341988023,
signal,0,-1,-1,0,1,47,8,923,2,0.022173376341988023,
noise,0,-1,-1,0,1,48,8,923,2,0.022173376341988023,
noise,0,-1,-1,0,1,49,7,923,2,0.022173376341988023,
signal,0,-1,-1,0,1,50,8,923,2,0.022173376341988023,
signal,0,-1,-1,0,1,51,8,923,2,0.022173376341988023,
signal,0,-1,-1,0,1,52,7,923,2,0.022173376341988023,
signal,0,-1,-1,0,1,53,7,923,2,0.022173376341988023,
noise,0,-1,-1,0,1,54,8,923,2,0.022173376341988023,
signal,0,-1,-1,0,1,55,7,923,2,0.022173376341988023,
noise,0,-1,-1,0,1,56,8,923,2,0.022173376341988023,
signal,0,-1,-1,0,1,57,7,923,2,0.022173376341988023,
noise,0,-1,-1,0,1,58,8,923,2,0.022173376341988023,
noise,0,-1,-1,0,1,59,8,923,2,0.022173376341988023,
