condition,.thisRepN,.thisTrialN,.thisN,.thisIndex,block,trial,response,pair_id,chamber,threshold,
noise,0,-1,-1,0,1,0,8,9271,2,0.019060814331358315,
noise,0,-1,-1,0,1,1,7,9271,2,0.019060814331358315,
signal,0,-1,-1,0,1,2,7,9271,2,0.019060814331358315,
noise,0,-1,-1,0,1,3,8,9271,2,0.019060814331358315,
signal,0,-1,-1,0,1,4,7,9271,2,0.019060814331358315,
noise,0,-1,-1,0,1,5,8,9271,2,0.019060814331358315,
noise,0,-1,-1,0,1,6,7,9271,2,0.019060814331358315,
noise,0,-1,-1,0,1,7,8,9271,2,0.019060814331358315,
noise,0,-1,-1,0,1,8,8,9271,2,0.019060814331358315,
signal,0,-1,-1,0,1,9,8,9271,2,0.019060814331358315,
noise,0,-1,-1,0,1,10,7,9271,2,0.019060814331358315,
signal,0,-1,-1,0,1,11,7,9271,2,0.019060814331358315,
signal,0,-1,-1,0,1,12,7,9271,2,0.019060814331358315,
signal,0,-1,-1,0,1,13,7,9271,2,0.019060814331358315,
signal,0,-1,-1,0,1,14,7,9271,2,0.019060814331358315,
signal,0,-1,-1,0,1,15,8,9271,2,0.019060814331358315,
noise,0,-1,-1,0,1,16,8,9271,2,0.019060814331358315,
noise,0,-1,-1,0,1,17,7,9271,2,0.019060814331358315,
signal,0,-1,-1,0,1,18,7,9271,2,0.019060814331358315,
noise,0,-1,-1,0,1,19,8,9271,2,0.019060814331358315,
signal,0,-1,-1,0,1,20,7,9271,2,0.019060814331358315,
noise,0,-1,-1,0,1,21,8,9271,2,0.019060814331358315,
signal,0,-1,-1,0,1,22,7,9271,2,0.019060814331358315,
noise,0,-1,-1,0,1,23,8,9271,2,0.019060814331358315,
noise,0,-1,-1,0,1,24,8,9271,2,0.019060814331358315,
noise,0,-1,-1,0,1,25,8,9271,2,0.019060814331358315,
noise,0,-1,-1,0,1,26,7,9271,2,0.019060814331358315,
noise,0,-1,-1,0,1,27,8,9271,2,0.019060814331358315,
noise,0,-1,-1,0,1,28,8,9271,2,0.019060814331358315,
noise,0,-1,-1,0,1,29,7,9271,2,0.019060814331358315,
signal,0,-1,-1,0,1,30,8,9271,2,0.019060814331358315,
signal,0,-1,-1,0,1,31,8,9271,2,0.019060814331358315,
noise,0,-1,-1,0,1,32,8,9271,2,0.019060814331358315,
noise,0,-1,-1,0,1,33,8,9271,2,0.019060814331358315,
signal,0,-1,-1,0,1,34,8,9271,2,0.019060814331358315,
signal,0,-1,-1,0,1,35,8,9271,2,0.019060814331358315,
signal,0,-1,-1,0,1,36,7,9271,2,0.019060814331358315,
noise,0,-1,-1,0,1,37,8,9271,2,0.019060814331358315,
signal,0,-1,-1,0,1,38,7,9271,2,0.019060814331358315,
signal,0,-1,-1,0,1,39,7,9271,2,0.019060814331358315,
signal,0,-1,-1,0,1,40,8,9271,2,0.019060814331358315,
noise,0,-1,-1,0,1,41,8,9271,2,0.019060814331358315,
signal,0,-1,-1,0,1,42,7,9271,2,0.019060814331358315,
signal,0,-1,-1,0,1,43,7,9271,2,0.019060814331358315,
signal,0,-1,-1,0,1,44,7,9271,2,0.019060814331358315,
signal,0,-1,-1,0,1,45,7,9271,2,0.019060814331358315,
noise,0,-1,-1,0,1,46,8,9271,2,0.019060814331358315,
signal,0,-1,-1,0,1,47,7,9271,2,0.019060814331358315,
noise,0,-1,-1,0,1,48,8,9271,2,0.019060814331358315,
signal,0,-1,-1,0,1,49,8,9271,2,0.019060814331358315,
noise,0,-1,-1,0,1,50,8,9271,2,0.019060814331358315,
signal,0,-1,-1,0,1,51,8,9271,2,0.019060814331358315,
noise,0,-1,-1,0,1,52,8,9271,2,0.019060814331358315,
noise,0,-1,-1,0,1,53,8,9271,2,0.019060814331358315,
signal,0,-1,-1,0,1,54,8,9271,2,0.019060814331358315,
noise,0,-1,-1,0,1,55,8,9271,2,0.019060814331358315,
noise,0,-1,-1,0,1,56,8,9271,2,0.019060814331358315,
noise,0,-1,-1,0,1,57,8,9271,2,0.019060814331358315,
noise,0,-1,-1,0,1,58,8,9271,2,0.019060814331358315,
signal,0,-1,-1,0,1,59,7,9271,2,0.019060814331358315,
noise,0,-1,-1,0,1,60,8,9271,2,0.019060814331358315,
signal,0,-1,-1,0,1,61,8,9271,2,0.019060814331358315,
signal,0,-1,-1,0,1,62,7,9271,2,0.019060814331358315,
signal,0,-1,-1,0,1,63,7,9271,2,0.019060814331358315,
signal,0,-1,-1,0,1,64,7,9271,2,0.019060814331358315,
noise,0,-1,-1,0,1,65,8,9271,2,0.019060814331358315,
signal,0,-1,-1,0,1,66,7,9271,2,0.019060814331358315,
signal,0,-1,-1,0,1,67,7,9271,2,0.019060814331358315,
signal,0,-1,-1,0,1,68,7,9271,2,0.019060814331358315,
signal,0,-1,-1,0,1,69,7,9271,2,0.019060814331358315,
noise,0,-1,-1,0,1,70,8,9271,2,0.019060814331358315,
noise,0,-1,-1,0,1,71,8,9271,2,0.019060814331358315,
signal,0,-1,-1,0,1,72,7,9271,2,0.019060814331358315,
signal,0,-1,-1,0,1,73,7,9271,2,0.019060814331358315,
