condition,.thisRepN,.thisTrialN,.thisN,.thisIndex,block,trial,response,pair_id,chamber,threshold,
signal,0,-1,-1,0,1,0,7,929,2,0.01627791686074479,
signal,0,-1,-1,0,1,1,8,929,2,0.01627791686074479,
signal,0,-1,-1,0,1,2,7,929,2,0.01627791686074479,
signal,0,-1,-1,0,1,3,7,929,2,0.01627791686074479,
signal,0,-1,-1,0,1,4,7,929,2,0.01627791686074479,
noise,0,-1,-1,0,1,5,8,929,2,0.01627791686074479,
noise,0,-1,-1,0,1,6,8,929,2,0.01627791686074479,
signal,0,-1,-1,0,1,7,8,929,2,0.01627791686074479,
signal,0,-1,-1,0,1,8,7,929,2,0.01627791686074479,
signal,0,-1,-1,0,1,9,7,929,2,0.01627791686074479,
noise,0,-1,-1,0,1,10,8,929,2,0.01627791686074479,
signal,0,-1,-1,0,1,11,7,929,2,0.01627791686074479,
noise,0,-1,-1,0,1,12,8,929,2,0.01627791686074479,
signal,0,-1,-1,0,1,13,7,929,2,0.01627791686074479,
signal,0,-1,-1,0,1,14,7,929,2,0.01627791686074479,
noise,0,-1,-1,0,1,15,8,929,2,0.01627791686074479,
signal,0,-1,-1,0,1,16,8,929,2,0.01627791686074479,
signal,0,-1,-1,0,1,17,8,929,2,0.01627791686074479,
noise,0,-1,-1,0,1,18,8,929,2,0.01627791686074479,
noise,0,-1,-1,0,1,19,8,929,2,0.01627791686074479,
noise,0,-1,-1,0,1,20,8,929,2,0.01627791686074479,
noise,0,-1,-1,0,1,21,8,929,2,0.01627791686074479,
noise,0,-1,-1,0,1,22,8,929,2,0.01627791686074479,
signal,0,-1,-1,0,1,23,7,929,2,0.01627791686074479,
noise,0,-1,-1,0,1,24,8,929,2,0.01627791686074479,
signal,0,-1,-1,0,1,25,8,929,2,0.01627791686074479,
noise,0,-1,-1,0,1,26,8,929,2,0.01627791686074479,
signal,0,-1,-1,0,1,27,7,929,2,0.01627791686074479,
noise,0,-1,-1,0,1,28,8,929,2,0.01627791686074479,
noise,0,-1,-1,0,1,29,8,929,2,0.01627791686074479,
noise,0,-1,-1,0,1,30,8,929,2,0.01627791686074479,
noise,0,-1,-1,0,1,31,8,929,2,0.01627791686074479,
noise,0,-1,-1,0,1,32,8,929,2,0.01627791686074479,
signal,0,-1,-1,0,1,33,7,929,2,0.01627791686074479,
signal,0,-1,-1,0,1,34,8,929,2,0.01627791686074479,
noise,0,-1,-1,0,1,35,8,929,2,0.01627791686074479,
noise,0,-1,-1,0,1,36,8,929,2,0.01627791686074479,
noise,0,-1,-1,0,1,37,8,929,2,0.01627791686074479,
noise,0,-1,-1,0,1,38,8,929,2,0.01627791686074479,
noise,0,-1,-1,0,1,39,8,929,2,0.01627791686074479,
signal,0,-1,-1,0,1,40,7,929,2,0.01627791686074479,
signal,0,-1,-1,0,1,41,noresponse,929,2,0.01627791686074479,
noise,0,-1,-1,0,1,42,noresponse,929,2,0.01627791686074479,
signal,0,-1,-1,0,1,43,7,929,2,0.01627791686074479,
signal,0,-1,-1,0,1,44,8,929,2,0.01627791686074479,
noise,0,-1,-1,0,1,45,8,929,2,0.01627791686074479,
noise,0,-1,-1,0,1,46,8,929,2,0.01627791686074479,
signal,0,-1,-1,0,1,47,8,929,2,0.01627791686074479,
noise,0,-1,-1,0,1,48,8,929,2,0.01627791686074479,
signal,0,-1,-1,0,1,49,7,929,2,0.01627791686074479,
signal,0,-1,-1,0,1,50,8,929,2,0.01627791686074479,
noise,0,-1,-1,0,1,51,8,929,2,0.01627791686074479,
signal,0,-1,-1,0,1,52,7,929,2,0.01627791686074479,
signal,0,-1,-1,0,1,53,8,929,2,0.01627791686074479,
noise,0,-1,-1,0,1,54,8,929,2,0.01627791686074479,
signal,0,-1,-1,0,1,55,8,929,2,0.01627791686074479,
signal,0,-1,-1,0,1,56,noresponse,929,2,0.01627791686074479,
signal,0,-1,-1,0,1,57,7,929,2,0.01627791686074479,
signal,0,-1,-1,0,1,58,8,929,2,0.01627791686074479,
signal,0,-1,-1,0,1,59,8,929,2,0.01627791686074479,
noise,0,-1,-1,0,1,60,8,929,2,0.01627791686074479,
noise,0,-1,-1,0,1,61,8,929,2,0.01627791686074479,
noise,0,-1,-1,0,1,62,8,929,2,0.01627791686074479,
noise,0,-1,-1,0,1,63,noresponse,929,2,0.01627791686074479,
signal,0,-1,-1,0,1,64,7,929,2,0.01627791686074479,
noise,0,-1,-1,0,1,65,8,929,2,0.01627791686074479,
signal,0,-1,-1,0,1,66,8,929,2,0.01627791686074479,
signal,0,-1,-1,0,1,67,7,929,2,0.01627791686074479,
signal,0,-1,-1,0,1,68,8,929,2,0.01627791686074479,
signal,0,-1,-1,0,1,69,8,929,2,0.01627791686074479,
signal,0,-1,-1,0,1,70,8,929,2,0.01627791686074479,
noise,0,-1,-1,0,1,71,8,929,2,0.01627791686074479,
noise,0,-1,-1,0,1,72,8,929,2,0.01627791686074479,
noise,0,-1,-1,0,1,73,8,929,2,0.01627791686074479,
noise,0,-1,-1,0,1,74,8,929,2,0.01627791686074479,
noise,0,-1,-1,0,1,75,8,929,2,0.01627791686074479,
signal,0,-1,-1,0,1,76,7,929,2,0.01627791686074479,
noise,0,-1,-1,0,1,77,8,929,2,0.01627791686074479,
noise,0,-1,-1,0,1,78,8,929,2,0.01627791686074479,
signal,0,-1,-1,0,1,79,7,929,2,0.01627791686074479,
noise,0,-1,-1,0,2,0,7,929,2,0.01627791686074479,
noise,0,-1,-1,0,2,1,8,929,2,0.01627791686074479,
noise,0,-1,-1,0,2,2,8,929,2,0.01627791686074479,
noise,0,-1,-1,0,2,3,8,929,2,0.01627791686074479,
signal,0,-1,-1,0,2,4,8,929,2,0.01627791686074479,
signal,0,-1,-1,0,2,5,7,929,2,0.01627791686074479,
signal,0,-1,-1,0,2,6,7,929,2,0.01627791686074479,
noise,0,-1,-1,0,2,7,8,929,2,0.01627791686074479,
noise,0,-1,-1,0,2,8,8,929,2,0.01627791686074479,
noise,0,-1,-1,0,2,9,8,929,2,0.01627791686074479,
noise,0,-1,-1,0,2,10,8,929,2,0.01627791686074479,
signal,0,-1,-1,0,2,11,8,929,2,0.01627791686074479,
noise,0,-1,-1,0,2,12,8,929,2,0.01627791686074479,
signal,0,-1,-1,0,2,13,8,929,2,0.01627791686074479,
noise,0,-1,-1,0,2,14,8,929,2,0.01627791686074479,
signal,0,-1,-1,0,2,15,8,929,2,0.01627791686074479,
signal,0,-1,-1,0,2,16,7,929,2,0.01627791686074479,
signal,0,-1,-1,0,2,17,7,929,2,0.01627791686074479,
signal,0,-1,-1,0,2,18,8,929,2,0.01627791686074479,
signal,0,-1,-1,0,2,19,7,929,2,0.01627791686074479,
signal,0,-1,-1,0,2,20,8,929,2,0.01627791686074479,
noise,0,-1,-1,0,2,21,8,929,2,0.01627791686074479,
signal,0,-1,-1,0,2,22,7,929,2,0.01627791686074479,
noise,0,-1,-1,0,2,23,8,929,2,0.01627791686074479,
noise,0,-1,-1,0,2,24,8,929,2,0.01627791686074479,
signal,0,-1,-1,0,2,25,8,929,2,0.01627791686074479,
signal,0,-1,-1,0,2,26,8,929,2,0.01627791686074479,
signal,0,-1,-1,0,2,27,7,929,2,0.01627791686074479,
noise,0,-1,-1,0,2,28,8,929,2,0.01627791686074479,
noise,0,-1,-1,0,2,29,8,929,2,0.01627791686074479,
noise,0,-1,-1,0,2,30,8,929,2,0.01627791686074479,
noise,0,-1,-1,0,2,31,8,929,2,0.01627791686074479,
noise,0,-1,-1,0,2,32,8,929,2,0.01627791686074479,
